PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
Troy Williams,MEM,22,15,25,60,0,1,0,0,1,0,0,0,0,1,1,100,1,3,33.3
Ty Lawson,SAC,29,21,35,60,3,6,50,4,12,33.3,1,1,100,0,0,0,1,5,20
Tyler Ennis,HOU,22,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Johnson,MIA,24,29,39,74.4,2,5,40,2,14,14.3,2,4,50,2,4,50,7,20,35
Tyler Ulis,PHX,21,0,3,0,3,4,75,1,3,33.3,0,0,0,0,0,0,1,2,50
Tyler Zeller,BOS,27,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Tyreke Evans,NOP,27,15,23,65.2,0,2,0,0,2,0,0,0,0,0,0,0,2,5,40
Tyson Chandler,PHX,34,16,23,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyus Jones,MIN,20,2,5,40,0,0,0,0,0,0,1,2,50,1,1,100,1,2,50
Udonis Haslem,MIA,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Oladipo,OKC,24,37,56,66.1,3,4,75,9,20,45,2,4,50,6,10,60,6,28,21.4
Vince Carter,MEM,40,1,1,100,0,0,0,1,2,50,0,2,0,1,1,100,1,13,7.7
Wade Baldwin IV,MEM,20,4,10,40,0,0,0,1,5,20,0,0,0,0,0,0,0,0,0
Wayne Ellington,MIA,29,6,7,85.7,0,0,0,0,2,0,3,6,50,1,3,33.3,5,16,31.3
Wesley Johnson,LAC,29,5,6,83.3,0,0,0,0,2,0,0,1,0,0,1,0,2,6,33.3
Wesley Matthews,DAL,30,6,15,40,1,2,50,1,5,20,5,5,100,0,0,0,12,27,44.4
Will Barton,DEN,26,26,38,68.4,3,10,30,3,4,75,0,1,0,0,0,0,8,18,44.4
Willie Cauley-Stein,SAC,23,12,16,75,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Reed,MIA,26,8,9,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy Hernangomez,NYK,22,12,18,66.7,2,3,66.7,0,2,0,0,0,0,0,0,0,0,1,0
Wilson Chandler,DEN,29,23,34,67.6,2,5,40,7,12,58.3,1,2,50,1,4,25,3,9,33.3
Yogi Ferrell,DAL,23,2,2,100,0,0,0,1,3,33.3,0,0,0,0,1,0,2,3,66.7
Zach LaVine,MIN,21,62,86,72.1,3,5,60,5,10,50,1,4,25,0,4,0,4,18,22.2
Zach Randolph,MEM,35,10,12,83.3,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0
Zaza Pachulia,GSW,32,12,21,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
