PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Aaron Gray,TOR,28,168,248,67.7,68,153,44.4,90,243,37,17,35,48.6,6,28,21.4,44,128,34.4
Al Horford,ATL,27,911,1562,58.3,286,698,41,532,1408,37.8,49,152,32.2,63,162,38.9,307,777,39.5
Al Jefferson,UTA,28,905,1455,62.2,281,708,39.7,477,1157,41.2,67,152,44.1,52,129,40.3,241,657,36.7
Amar'e Stoudemire,NYK,30,224,358,62.6,46,124,37.1,124,290,42.8,16,42,38.1,17,43,39.5,72,210,34.3
Amir Johnson,TOR,26,688,1176,58.5,235,599,39.2,404,1061,38.1,57,133,42.9,51,122,41.8,228,655,34.8
Anderson Varejao,CLE,30,307,474,64.8,74,193,38.3,173,410,42.2,29,64,45.3,23,44,52.3,89,270,33
Andray Blatche,BKN,26,564,877,64.3,165,373,44.2,272,690,39.4,31,93,33.3,33,65,50.8,129,384,33.6
Andre Drummond,DET,19,429,682,62.9,96,264,36.4,248,634,39.1,23,75,30.7,25,65,38.5,121,380,31.8
Andrea Bargnani,TOR,27,380,604,62.9,92,240,38.3,175,461,38,26,57,45.6,27,52,51.9,89,257,34.6
Andrew Bogut,GSW,28,229,392,58.4,90,240,37.5,158,430,36.7,21,49,42.9,15,48,31.3,97,241,40.2
Andris Biedrins,GSW,27,132,227,58.1,51,138,37,101,281,35.9,12,34,35.3,14,21,66.7,51,170,30
Anthony Davis,NOH,20,698,1138,61.3,161,386,41.7,309,725,42.6,58,137,42.3,46,119,38.7,181,519,34.9
Aron Baynes,SAS,26,47,83,56.6,11,33,33.3,24,61,39.3,7,16,43.8,4,9,44.4,15,42,35.7
Bernard James,DAL,28,168,292,57.5,45,110,40.9,75,175,42.9,12,25,48,9,26,34.6,45,147,30.6
Bismack Biyombo,CHA,20,833,1412,59,183,446,41,370,893,41.4,68,155,43.9,73,163,44.8,237,660,35.9
Boris Diaw,SAS,31,569,976,58.3,161,448,35.9,397,921,43.1,40,88,45.5,33,83,39.8,147,447,32.9
Brandan Wright,DAL,25,402,692,58.1,102,296,34.5,205,505,40.6,38,86,44.2,26,73,35.6,121,375,32.3
Brendan Haywood,CHA,33,379,622,60.9,87,250,34.8,221,547,40.4,38,99,38.4,46,99,46.5,137,362,37.8
Brook Lopez,BKN,25,727,1231,59.1,230,606,38,467,1198,39,41,112,36.6,49,114,43,215,544,39.5
Byron Mullens,CHA,24,608,940,64.7,118,287,41.1,231,595,38.8,47,119,39.5,46,100,46,165,448,36.8
Charles Hayes,SAC,30,392,588,66.7,130,338,38.5,208,543,38.3,28,79,35.4,24,79,30.4,133,402,33.1
Chris Andersen,MIA,34,167,313,53.4,66,150,44,102,262,38.9,21,52,40.4,10,37,27,71,219,32.4
Chris Bosh,MIA,29,810,1381,58.7,216,561,38.5,425,1111,38.3,57,163,35,48,154,31.2,276,762,36.2
Chris Kaman,DAL,31,460,776,59.3,136,356,38.2,250,627,39.9,39,84,46.4,33,88,37.5,144,415,34.7
Chris Wilcox,BOS,30,304,542,56.1,75,189,39.7,152,401,37.9,17,50,34,13,38,34.2,73,242,30.2
Cole Aldrich,SAC,24,153,224,68.3,31,99,31.3,60,165,36.4,3,18,16.7,11,26,42.3,56,165,33.9
Daniel Orton,OKC,22,40,58,69,5,14,35.7,17,53,32.1,3,8,37.5,0,3,0,13,42,31
Darko Milicic,BOS,28,2,2,100,0,1,0,1,3,33.3,-,-,-,-,-,-,1,2,50
David Lee,GSW,30,919,1467,62.6,359,915,39.2,534,1431,37.3,63,177,35.6,59,155,38.1,348,985,35.3
DeAndre Jordan,LAC,24,620,992,62.5,195,490,39.8,384,996,38.6,52,103,50.5,43,95,45.3,241,609,39.6
DeJuan Blair,SAS,24,291,473,61.5,78,227,34.4,203,484,41.9,12,43,27.9,14,43,32.6,69,205,33.7
DeMarcus Cousins,SAC,22,847,1254,67.5,239,648,36.9,463,1097,42.2,67,158,42.4,59,144,41,220,615,35.8
DeSagana Diop,CHA,31,79,140,56.4,15,53,28.3,40,99,40.4,8,23,34.8,5,18,27.8,26,77,33.8
Derrick Favors,UTA,21,567,978,58,170,460,37,298,772,38.6,46,101,45.5,31,79,39.2,177,506,35
Dexter Pittman,MEM,25,13,19,68.4,10,17,58.8,3,13,23.1,0,1,0,0,0,0,0,4,0
Donatas Motiejunas,HOU,22,175,264,66.3,66,162,40.7,109,292,37.3,13,28,46.4,19,32,59.4,54,174,31
Drew Gooden,MIL,31,61,105,58.1,24,48,50,17,60,28.3,4,7,57.1,2,7,28.6,11,34,32.4
Dwight Howard,LAL,27,902,1482,60.9,269,702,38.3,593,1554,38.2,66,155,42.6,59,141,41.8,301,854,35.2
Earl Barron,NYK,31,58,80,72.5,12,26,46.2,22,77,28.6,1,5,20,2,8,25,15,54,27.8
Eddy Curry,DAL,30,13,16,81.3,1,5,20,4,12,33.3,0,0,0,0,1,0,1,4,25
Ekpe Udoh,MIL,26,482,858,56.2,106,272,39,228,581,39.2,27,89,30.3,29,72,40.3,118,342,34.5
Emeka Okafor,WAS,30,631,1038,60.8,177,488,36.3,443,1152,38.5,40,114,35.1,39,93,41.9,219,623,35.2
Enes Kanter,UTA,21,345,633,54.5,103,275,37.5,164,428,38.3,28,61,45.9,23,50,46,109,343,31.8
Fab Melo,BOS,23,11,25,44,3,5,60,8,15,53.3,0,2,0,1,2,50,4,15,26.7
Festus Ezeli,GSW,23,303,527,57.5,142,340,41.8,227,584,38.9,27,56,48.2,27,50,54,145,408,35.5
Glen Davis,ORL,27,334,545,61.3,121,293,41.3,223,567,39.3,15,51,29.4,18,58,31,111,309,35.9
Greg Monroe,DET,23,1002,1614,62.1,222,569,39,460,1238,37.2,59,163,36.2,57,148,38.5,272,762,35.7
Greg Smith,HOU,22,366,575,63.7,114,319,35.7,211,575,36.7,26,61,42.6,26,63,41.3,128,380,33.7
Greg Stiemsma,MIN,27,391,613,63.8,109,295,36.9,236,592,39.9,28,53,52.8,28,67,41.8,131,370,35.4
Gustavo Ayon,MIL,28,255,413,61.7,83,195,42.6,129,365,35.3,11,29,37.9,13,42,31,81,234,34.6
Hamed Haddadi,PHX,28,90,164,54.9,32,101,31.7,58,144,40.3,3,13,23.1,4,15,26.7,36,99,36.4
Hasheem Thabeet,OKC,26,233,403,57.8,61,178,34.3,130,383,33.9,13,32,40.6,10,33,30.3,88,258,34.1
Henry Sims,NOH,23,2,2,100,1,1,100,0,3,0,0,0,0,-,-,-,1,1,100
Ian Mahinmi,IND,26,363,626,58,127,332,38.3,291,727,40,30,68,44.1,26,75,34.7,112,338,33.1
