PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
JJ Hickson,POR,24,943,1545,61,251,556,45.1,456,1145,39.8,44,131,33.6,39,99,39.4,215,616,34.9
JaVale McGee,DEN,25,468,870,53.8,130,339,38.3,291,684,42.5,59,135,43.7,37,108,34.3,174,506,34.4
Jarvis Varnado,MIA,25,12,25,48,9,18,50,12,32,37.5,1,2,50,2,4,50,3,12,25
Jason Collins,WAS,34,116,190,61.1,31,85,36.5,68,187,36.4,5,23,21.7,4,19,21.1,45,110,40.9
Jason Smith,NOH,27,279,474,58.9,70,209,33.5,128,316,40.5,30,71,42.3,27,54,50,93,287,32.4
Jeff Ayres,IND,26,101,190,53.2,40,97,41.2,78,211,37,11,25,44,4,19,21.1,32,120,26.7
Jeremy Tyler,ATL,22,18,35,51.4,4,12,33.3,12,27,44.4,1,2,50,0,4,0,6,30,20
Jermaine O'Neal,PHX,34,289,528,54.7,112,315,35.6,200,488,41,23,61,37.7,25,51,49,105,273,38.5
Joakim Noah,CHI,28,710,1243,57.1,208,571,36.4,565,1466,38.5,22,82,26.8,45,108,41.7,211,619,34.1
Joel Anthony,MIA,30,161,294,54.8,60,159,37.7,87,249,34.9,11,26,42.3,12,34,35.3,72,181,39.8
Joel Przybilla,MIL,33,29,47,61.7,11,18,61.1,15,39,38.5,4,7,57.1,4,5,80,5,12,41.7
Johan Petro,ATL,27,115,189,60.8,40,89,44.9,75,186,40.3,11,24,45.8,13,25,52,27,86,31.4
Jonas Valanciunas,TOR,21,531,852,62.3,138,386,35.8,276,709,38.9,36,85,42.4,35,72,48.6,119,364,32.7
Jordan Hill,LAL,25,168,278,60.4,44,123,35.8,92,221,41.6,16,30,53.3,2,19,10.5,54,146,37
Josh Harrellson,MIA,24,10,19,52.6,3,13,23.1,3,13,23.1,0,3,0,0,1,0,4,10,40
Kendrick Perkins,OKC,28,650,1199,54.2,188,498,37.8,358,956,37.4,32,103,31.1,42,100,42,214,655,32.7
Kevin Garnett,BOS,37,634,1060,59.8,178,488,36.5,328,944,34.7,36,114,31.6,38,100,38,207,599,34.6
Kevin Love,MIN,24,230,357,64.4,64,156,41,127,314,40.4,10,38,26.3,18,45,40,52,167,31.1
Kevin Seraphin,WAS,23,539,898,60,151,392,38.5,350,878,39.9,40,109,36.7,34,94,36.2,165,541,30.5
Kosta Koufos,DEN,24,582,1020,57.1,172,463,37.1,360,890,40.4,54,133,40.6,52,126,41.3,177,506,35
Kwame Brown,PHI,31,88,155,56.8,24,72,33.3,47,118,39.8,7,11,63.6,5,12,41.7,35,81,43.2
LaMarcus Aldridge,POR,27,1059,1729,61.2,282,656,43,552,1362,40.5,51,142,35.9,44,121,36.4,264,752,35.1
Larry Sanders,MIL,24,685,1234,55.5,168,488,34.4,366,947,38.6,45,136,33.1,40,114,35.1,182,513,35.5
Lavoy Allen,PHI,24,531,858,61.9,143,405,35.3,352,850,41.4,28,86,32.6,19,66,28.8,160,487,32.9
Luke Zeller,PHX,26,22,31,71,6,13,46.2,10,33,30.3,6,8,75,0,2,0,8,20,40
Marc Gasol,MEM,28,816,1381,59.1,253,701,36.1,495,1325,37.4,61,141,43.3,38,122,31.1,234,717,32.6
Marcin Gortat,PHX,29,679,1103,61.6,218,570,38.2,404,943,42.8,44,110,40,32,72,44.4,162,434,37.3
Marcus Camby,NYK,39,73,123,59.3,14,46,30.4,54,104,51.9,0,18,0,9,18,50,28,98,28.6
Marreese Speights,CLE,25,431,695,62,102,266,38.3,245,624,39.3,33,73,45.2,27,64,42.2,154,418,36.8
Matt Bonner,SAS,33,285,471,60.5,94,246,38.2,197,471,41.8,16,46,34.8,17,39,43.6,104,276,37.7
Meyers Leonard,POR,21,480,732,65.6,123,265,46.4,225,549,41,27,79,34.2,21,53,39.6,110,347,31.7
Nazr Mohammed,CHI,35,209,334,62.6,72,180,40,137,374,36.6,7,13,53.8,12,28,42.9,51,146,34.9
Nene,WAS,30,466,808,57.7,144,375,38.4,335,893,37.5,38,101,37.6,37,82,45.1,198,548,36.1
Nick Collison,OKC,32,499,846,59,152,426,35.7,266,758,35.1,39,80,48.8,36,86,41.9,178,510,34.9
Nikola Pekovic,MIN,27,664,1033,64.3,207,471,43.9,448,1113,40.3,32,86,37.2,54,125,43.2,182,505,36
Nikola Vucevic,ORL,22,884,1402,63.1,277,653,42.4,523,1312,39.9,53,138,38.4,49,133,36.8,284,784,36.2
Omer Asik,HOU,26,798,1285,62.1,258,703,36.7,548,1367,40.1,65,151,43,66,159,41.5,264,764,34.6
Patrick Patterson,SAC,24,618,950,65.1,197,513,38.4,389,911,42.7,47,109,43.1,50,116,43.1,198,567,34.9
Pau Gasol,LAL,32,607,1002,60.6,164,423,38.8,357,897,39.8,35,96,36.5,32,75,42.7,167,515,32.4
Rasheed Wallace,NYK,38,89,160,55.6,26,75,34.7,43,132,32.6,2,12,16.7,6,13,46.2,35,90,38.9
Robert Sacre,LAL,24,75,119,63,28,56,50,36,92,39.1,7,16,43.8,4,13,30.8,25,66,37.9
Robin Lopez,NOH,25,799,1316,60.7,189,514,36.8,372,867,42.9,54,142,38,51,127,40.2,215,578,37.2
Ronny Turiaf,LAC,30,196,378,51.9,39,156,25,121,305,39.7,15,43,34.9,13,39,33.3,84,247,34
Roy Hibbert,IND,26,581,1128,51.5,220,623,35.3,574,1431,40.1,27,96,28.1,23,84,27.4,185,522,35.4
Ryan Hollins,LAC,28,187,323,57.9,64,170,37.6,104,308,33.8,17,47,36.2,8,24,33.3,59,205,28.8
Samardo Samuels,CLE,24,65,95,68.4,13,42,31,32,82,39,6,10,60,9,11,81.8,17,56,30.4
Samuel Dalembert,MIL,33,308,500,61.6,71,188,37.8,162,358,45.3,21,43,48.8,19,41,46.3,67,192,34.9
Serge Ibaka,OKC,23,814,1528,53.3,226,630,35.9,447,1190,37.6,49,137,35.8,56,137,40.9,280,824,34
Spencer Hawes,PHI,25,686,1194,57.5,211,550,38.4,507,1191,42.6,43,109,39.4,38,113,33.6,222,631,35.2
Tiago Splitter,SAS,28,610,1096,55.7,185,541,34.2,474,1152,41.1,46,114,40.4,33,104,31.7,174,497,35
Tim Ohlbrecht,HOU,24,4,4,100,2,2,100,1,6,16.7,0,1,0,1,2,50,0,2,0
Timofey Mozgov,DEN,26,120,217,55.3,32,77,41.6,59,161,36.6,11,25,44,14,38,36.8,52,130,40
Troy Murphy,DAL,33,71,130,54.6,17,53,32.1,44,113,38.9,13,17,76.5,4,14,28.6,26,84,31
Tyler Hansbrough,IND,27,390,707,55.2,130,354,36.7,290,764,38,21,51,41.2,21,56,37.5,111,353,31.4
Tyler Zeller,CLE,23,736,1173,62.7,192,480,40,410,970,42.3,32,116,27.6,49,115,42.6,203,572,35.5
Tyson Chandler,NYK,30,720,1129,63.8,164,499,32.9,398,941,42.3,51,133,38.3,49,113,43.4,256,719,35.6
Viacheslav Kravtsov,DET,25,73,107,68.2,16,50,32,42,110,38.2,7,10,70,7,21,33.3,33,73,45.2
Zaza Pachulia,ATL,29,331,593,55.8,115,261,44.1,217,553,39.2,30,72,41.7,19,51,37.3,141,366,38.5
