PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Aaron Gray,SAC,29,125,176,71,43,98,43.9,62,185,33.5,10,20,50,3,10,30,46,122,37.7
Al Horford,ATL,28,328,546,60.1,96,196,49,196,502,39,23,61,37.7,21,57,36.8,95,295,32.2
Al Jefferson,CHA,29,787,1300,60.5,253,687,36.8,498,1256,39.6,53,148,35.8,44,108,40.7,328,900,36.4
Alex Len,PHX,21,121,196,61.7,47,118,39.8,78,165,47.3,4,17,23.5,6,18,33.3,41,112,36.6
Alexis Ajinca,NOP,26,354,567,62.4,60,194,30.9,139,364,38.2,33,71,46.5,24,48,50,101,308,32.8
Amar'e Stoudemire,NYK,31,470,774,60.7,110,286,38.5,224,555,40.4,29,87,33.3,40,95,42.1,204,534,38.2
Anderson Varejao,CLE,31,524,834,62.8,167,414,40.3,321,829,38.7,53,129,41.1,44,127,34.6,236,668,35.3
Andray Blatche,BKN,27,592,944,62.7,155,363,42.7,261,667,39.1,32,108,29.6,33,89,37.1,177,516,34.3
Andre Drummond,DET,20,975,1557,62.6,224,582,38.5,492,1146,42.9,73,168,43.5,64,176,36.4,337,891,37.8
Andrea Bargnani,NYK,28,439,685,64.1,96,275,34.9,208,470,44.3,37,78,47.4,40,99,40.4,130,390,33.3
Andrew Bogut,GSW,29,499,853,58.5,223,598,37.3,393,1012,38.8,38,73,52.1,32,79,40.5,177,513,34.5
Andrew Bynum,IND,26,192,304,63.2,51,130,39.2,113,283,39.9,11,31,35.5,8,23,34.8,60,169,35.5
Andris Biedrins,UTA,28,14,22,63.6,5,14,35.7,8,21,38.1,3,5,60,0,5,0,3,12,25
Anthony Davis,NOP,21,883,1373,64.3,205,523,39.2,354,921,38.4,65,158,41.1,66,139,47.5,255,772,33
Arinze Onuaku,CLE,26,8,12,66.7,4,4,100,5,17,29.4,1,1,100,2,3,66.7,4,8,50
Aron Baynes,SAS,27,153,240,63.8,77,153,50.3,99,238,41.6,8,34,23.5,8,18,44.4,46,144,31.9
Bernard James,DAL,29,48,70,68.6,14,43,32.6,21,62,33.9,4,10,40,6,13,46.2,15,54,27.8
Bismack Biyombo,CHA,21,323,616,52.4,86,249,34.5,206,507,40.6,20,60,33.3,21,50,42,133,353,37.7
