PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Aaron Gray,NOH,26,134,192,69.8,48,111,43.2,112,288,38.9,13,34,38.2,13,26,50,62,161,38.5
Al Horford,ATL,25,864,1379,62.7,268,662,40.5,609,1516,40.2,48,146,32.9,41,111,36.9,224,664,33.7
Al Jefferson,UTA,26,980,1584,61.9,324,822,39.4,545,1332,40.9,77,174,44.3,66,158,41.8,284,797,35.6
Alexis Ajinca,TOR,23,103,182,56.6,25,72,34.7,63,160,39.4,7,19,36.8,8,20,40,27,94,28.7
Amar'e Stoudemire,NYK,28,1094,1790,61.1,305,801,38.1,604,1409,42.9,57,154,37,63,147,42.9,279,711,39.2
Anderson Varejao,CLE,28,301,486,61.9,100,242,41.3,207,538,38.5,27,56,48.2,20,51,39.2,132,308,42.9
Andrea Bargnani,TOR,25,987,1544,63.9,234,554,42.2,431,1096,39.3,65,146,44.5,53,116,45.7,208,536,38.8
Andrew Bogut,MIL,26,646,1158,55.8,218,540,40.4,533,1317,40.5,34,77,44.2,39,136,28.7,160,490,32.7
Andrew Bynum,LAL,23,452,766,59,121,372,32.5,360,851,42.3,31,92,33.7,26,81,32.1,130,405,32.1
Andris Biedrins,GSW,25,520,799,65.1,162,377,43,315,719,43.8,29,73,39.7,21,57,36.8,142,374,38
Antonio McDyess,SAS,36,411,689,59.7,175,403,43.4,304,796,38.2,28,60,46.7,24,49,49,118,352,33.5
Ben Wallace,DET,36,423,667,63.4,112,270,41.5,273,641,42.6,30,70,42.9,21,55,38.2,108,290,37.2
Brad Miller,HOU,35,342,557,61.4,127,307,41.4,242,582,41.6,15,28,53.6,11,37,29.7,82,242,33.9
Brendan Haywood,DAL,31,433,660,65.6,162,386,42,259,683,37.9,25,65,38.5,25,63,39.7,120,331,36.3
Brian Skinner,MIL,35,4,4,100,1,1,100,1,2,50,0,1,0,1,1,100,1,3,33.3
Brook Lopez,NJN,23,995,1619,61.5,299,746,40.1,633,1488,42.5,59,152,38.8,59,143,41.3,236,661,35.7
Byron Mullens,OKC,22,32,50,64,5,20,25,15,40,37.5,1,2,50,1,2,50,6,17,35.3
Channing Frye,PHX,28,772,1166,66.2,316,818,38.6,639,1477,43.3,72,181,39.8,49,132,37.1,247,715,34.5
Charles Hayes,HOU,28,701,1073,65.3,287,711,40.4,488,1205,40.5,35,84,41.7,38,86,44.2,176,503,35
Chris Andersen,DEN,32,227,403,56.3,70,173,40.5,164,384,42.7,15,38,39.5,14,44,31.8,86,227,37.9
Chris Johnson,POR,25,58,91,63.7,8,19,42.1,20,60,33.3,4,12,33.3,3,7,42.9,17,40,42.5
Chris Kaman,LAC,29,281,486,57.8,100,220,45.5,158,442,35.7,17,40,42.5,18,54,33.3,68,208,32.7
Chris Wilcox,DET,28,376,575,65.4,86,202,42.6,212,486,43.6,18,40,45,23,56,41.1,82,232,35.3
Cole Aldrich,OKC,22,64,98,65.3,11,38,28.9,22,67,32.8,1,5,20,1,3,33.3,5,26,19.2
DJ Mbenga,NOH,30,89,150,59.3,38,87,43.7,56,166,33.7,6,17,35.3,8,22,36.4,26,94,27.7
Dan Gadzuric,NJN,33,139,218,63.8,35,113,31,106,245,43.3,7,26,26.9,6,13,46.2,53,126,42.1
Darko Milicic,MIN,26,604,958,63,139,390,35.6,400,984,40.7,40,108,37,42,110,38.2,172,480,35.8
David Andersen,NOH,31,102,162,63,44,92,47.8,78,182,42.9,14,35,40,7,22,31.8,36,96,37.5
David Lee,GSW,28,1010,1592,63.4,281,709,39.6,534,1258,42.4,50,145,34.5,43,143,30.1,271,745,36.4
DeAndre Jordan,LAC,22,689,1090,63.2,167,501,33.3,425,1101,38.6,45,133,33.8,49,105,46.7,213,568,37.5
