PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
DeJuan Blair,SAS,22,549,898,61.1,211,491,43,470,1135,41.4,35,79,44.3,32,50,64,132,387,34.1
DeMarcus Cousins,SAC,20,874,1282,68.2,248,674,36.8,514,1204,42.7,28,102,27.5,51,113,45.1,183,538,34
DeSagana Diop,CHA,29,65,113,57.5,13,33,39.4,32,96,33.3,6,12,50,3,12,25,18,48,37.5
Dexter Pittman,MIA,23,6,8,75,3,6,50,0,4,0,0,0,0,0,0,0,0,1,0
Dwight Howard,ORL,25,714,1193,59.8,299,760,39.3,689,1829,37.7,70,162,43.2,68,154,44.2,255,769,33.2
Earl Barron,POR,29,102,151,67.5,22,65,33.8,67,159,42.1,9,23,39.1,7,18,38.9,37,78,47.4
Emeka Okafor,NOH,28,677,1058,64,215,557,38.6,464,1159,40,54,122,44.3,47,115,40.9,204,623,32.7
Erick Dampier,MIA,35,253,463,54.6,90,213,42.3,157,400,39.3,22,57,38.6,15,42,35.7,63,210,30
Etan Thomas,ATL,33,37,53,69.8,6,16,37.5,18,43,41.9,1,7,14.3,1,4,25,6,16,37.5
Fabricio Oberto,POR,36,23,30,76.7,3,10,30,5,18,27.8,1,4,25,1,3,33.3,5,15,33.3
Francisco Elson,UTA,35,152,253,60.1,60,155,38.7,110,275,40,14,28,50,21,46,45.7,58,162,35.8
Garret Siler,PHX,24,36,54,66.7,15,25,60,24,51,47.1,3,8,37.5,3,4,75,10,26,38.5
Glen Davis,BOS,25,661,1126,58.7,224,557,40.2,458,1179,38.8,38,106,35.8,32,103,31.1,188,563,33.4
Greg Monroe,DET,21,860,1282,67.1,179,470,38.1,440,1050,41.9,58,127,45.7,41,110,37.3,179,536,33.4
Hamady Ndiaye,WAS,24,36,45,80,9,16,56.3,8,37,21.6,1,6,16.7,2,4,50,6,19,31.6
Hamed Haddadi,MEM,26,42,71,59.2,17,45,37.8,41,93,44.1,4,5,80,4,6,66.7,15,51,29.4
Hasheem Thabeet,HOU,24,103,162,63.6,46,86,53.5,70,189,37,14,22,63.6,10,18,55.6,47,121,38.8
Hassan Whiteside,SAC,22,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-,0,1,0
Hilton Armstrong,ATL,26,162,249,65.1,43,116,37.1,102,251,40.6,6,22,27.3,17,38,44.7,37,116,31.9
Ian Mahinmi,DAL,24,152,227,67,39,118,33.1,78,248,31.5,11,24,45.8,13,33,39.4,52,157,33.1
JJ Hickson,CLE,22,839,1314,63.9,239,605,39.5,487,1195,40.8,55,125,44,49,117,41.9,240,601,39.9
JaVale McGee,WAS,23,873,1336,65.3,184,562,32.7,473,1170,40.4,53,123,43.1,50,130,38.5,173,514,33.7
Jamaal Magloire,MIA,33,39,64,60.9,16,30,53.3,34,86,39.5,3,7,42.9,3,9,33.3,12,46,26.1
Jarron Collins,POR,32,59,83,71.1,14,36,38.9,35,99,35.4,4,9,44.4,2,4,50,15,58,25.9
Jason Collins,ATL,32,145,242,59.9,53,143,37.1,137,363,37.7,3,30,10,14,32,43.8,56,146,38.4
Jason Smith,NOH,25,319,504,63.3,112,252,44.4,192,555,34.6,27,65,41.5,16,59,27.1,116,325,35.7
Jeff Foster,IND,34,234,401,58.4,95,245,38.8,228,570,40,19,39,48.7,13,47,27.7,91,269,33.8
Jermaine O'Neal,BOS,32,120,220,54.5,37,118,31.4,97,252,38.5,7,23,30.4,7,18,38.9,33,94,35.1
Joakim Noah,CHI,26,514,836,61.5,126,371,34,348,932,37.3,27,75,36,26,66,39.4,128,389,32.9
Joe Smith,LAL,35,32,48,66.7,1,21,4.8,8,32,25,2,4,50,1,6,16.7,1,11,9.1
Joel Anthony,MIA,28,403,765,52.7,147,383,38.4,253,692,36.6,33,92,35.9,33,74,44.6,153,470,32.6
Joel Przybilla,CHA,31,170,272,62.5,46,118,39,106,265,40,6,24,25,9,28,32.1,46,127,36.2
Johan Petro,NJN,25,239,415,57.6,92,212,43.4,195,463,42.1,25,51,49,8,37,21.6,78,234,33.3
Jordan Hill,HOU,23,404,653,61.9,137,351,39,284,633,44.9,18,42,42.9,18,46,39.1,76,228,33.3
Kendrick Perkins,OKC,26,266,459,58,71,198,35.9,143,386,37,13,35,37.1,5,24,20.8,51,158,32.3
Kevin Love,MIN,22,900,1406,64,226,607,37.2,562,1431,39.3,72,184,39.1,65,171,38,293,773,37.9
Kosta Koufos,DEN,22,147,236,62.3,42,108,38.9,99,218,45.4,15,32,46.9,7,21,33.3,50,145,34.5
Kurt Thomas,CHI,38,337,531,63.5,88,265,33.2,308,758,40.6,18,50,36,9,25,36,82,273,30
Kwame Brown,CHA,29,579,914,63.3,144,383,37.6,354,824,43,47,117,40.2,31,83,37.3,168,449,37.4
Kyrylo Fesenko,UTA,24,102,182,56,37,108,34.3,76,198,38.4,14,32,43.8,11,27,40.7,36,113,31.9
Larry Sanders,MIL,22,281,487,57.7,74,192,38.5,168,425,39.5,21,46,45.7,17,48,35.4,67,207,32.4
Marc Gasol,MEM,26,869,1388,62.6,220,648,34,486,1222,39.8,57,141,40.4,50,119,42,265,702,37.7
Marcin Gortat,PHX,27,597,933,64,239,660,36.2,470,1130,41.6,54,130,41.5,36,102,35.3,194,530,36.6
Marcus Camby,POR,37,461,770,59.9,152,364,41.8,313,713,43.9,34,86,39.5,33,89,37.1,136,396,34.3
Matt Bonner,SAS,31,422,692,61,177,398,44.5,327,839,39,34,85,40,23,49,46.9,125,360,34.7
Mehmet Okur,UTA,32,57,78,73.1,13,36,36.1,35,74,47.3,4,6,66.7,6,12,50,21,46,45.7
Melvin Ely,DEN,33,140,199,70.4,27,67,40.3,92,220,41.8,7,23,30.4,13,24,54.2,27,99,27.3
Nazr Mohammed,OKC,33,393,669,58.7,116,293,39.6,273,685,39.9,24,70,34.3,25,69,36.2,125,327,38.2
Nenad Krstic,BOS,27,578,931,62.1,171,461,37.1,347,817,42.5,19,63,30.2,22,57,38.6,138,339,40.7
Nene,DEN,28,749,1209,62,220,564,39,509,1291,39.4,43,123,35,55,127,43.3,227,689,32.9
Nick Collison,OKC,30,468,756,61.9,143,396,36.1,295,804,36.7,24,65,36.9,25,61,41,140,389,36
Nikola Pekovic,MIN,25,266,408,65.2,79,204,38.7,218,536,40.7,23,54,42.6,22,45,48.9,109,268,40.7
Omer Asik,CHI,24,232,432,53.7,86,254,33.9,210,555,37.8,13,37,35.1,9,32,28.1,76,242,31.4
Pau Gasol,LAL,30,958,1607,59.6,298,774,38.5,628,1629,38.6,57,174,32.8,75,191,39.3,291,883,33
Robin Lopez,PHX,23,330,506,65.2,125,315,39.7,256,593,43.2,30,64,46.9,16,52,30.8,93,258,36
Ronny Turiaf,NYK,28,350,629,55.6,124,300,41.3,242,577,41.9,24,67,35.8,22,71,31,111,302,36.8
Roy Hibbert,IND,24,754,1303,57.9,194,520,37.3,576,1407,40.9,44,114,38.6,47,108,43.5,177,514,34.4
Ryan Hollins,CLE,26,335,561,59.7,113,312,36.2,271,635,42.7,40,88,45.5,23,59,39,137,338,40.5
Samuel Dalembert,SAC,31,672,1042,64.5,235,634,37.1,470,1061,44.3,37,92,40.2,35,87,40.2,151,469,32.2
Sean Marks,POR,35,67,121,55.4,22,50,44,38,90,42.2,4,11,36.4,8,20,40,16,39,41
Semih Erden,CLE,24,177,312,56.7,61,160,38.1,133,285,46.7,10,24,41.7,8,27,29.6,36,123,29.3
Serge Ibaka,OKC,21,786,1306,60.2,214,624,34.3,443,1104,40.1,54,128,42.2,33,84,39.3,179,530,33.8
Shaquille O'Neal,BOS,39,193,328,58.8,65,169,38.5,192,498,38.6,14,29,48.3,13,23,56.5,50,155,32.3
Solomon Alabi,TOR,23,16,24,66.7,7,10,70,10,30,33.3,3,8,37.5,2,4,50,6,22,27.3
Spencer Hawes,PHI,23,544,941,57.8,187,475,39.4,398,950,41.9,24,65,36.9,28,68,41.2,151,397,38
Theo Ratliff,LAL,38,25,37,67.6,10,25,40,16,38,42.1,6,11,54.5,0,4,0,3,16,18.8
Timofey Mozgov,DEN,24,198,309,64.1,61,172,35.5,129,296,43.6,12,27,44.4,11,18,61.1,40,109,36.7
Tony Battie,PHI,35,107,174,61.5,26,80,32.5,80,204,39.2,5,16,31.3,5,19,26.3,31,115,27
Troy Murphy,BOS,31,147,234,62.8,46,113,40.7,75,211,35.5,9,28,32.1,7,22,31.8,44,124,35.5
Tyson Chandler,DAL,28,651,1063,61.2,247,611,40.4,420,1100,38.2,27,84,32.1,35,94,37.2,191,598,31.9
Yao Ming,HOU,30,31,55,56.4,11,24,45.8,19,64,29.7,1,1,100,2,3,66.7,10,24,41.7
Zaza Pachulia,ATL,27,407,625,65.1,134,321,41.7,289,680,42.5,22,59,37.3,21,46,45.7,100,293,34.1
Zydrunas Ilgauskas,MIA,36,375,622,60.3,116,276,42,237,621,38.2,19,57,33.3,18,43,41.9,103,302,34.1
