PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Trey Lyles,UTA,20,80,62,32.9%,73,143,51,52.4,30.3%,69,132,52.3,2.5%,4,11,36.4
Trey Burke,UTA,23,64,59,34.5%,106,219,48.4,53.2,26.0%,85,165,51.5,8.5%,21,54,38.9
Trevor Booker,UTA,28,79,63,39.3%,78,152,51.3,51.3,38.8%,78,150,52,0.5%,0,2,0
Trevor Ariza,HOU,31,81,79,25.9%,90,222,40.5,44.4,17.5%,73,150,48.7,8.4%,17,72,23.6
Tony Wroten,NYK,23,8,8,33.8%,9,22,40.9,40.9,30.8%,9,20,45,3.1%,0,2,0
Tony Snell,CHI,24,64,49,28.0%,32,95,33.7,36.3,23.0%,27,78,34.6,5.0%,5,17,29.4
Tony Parker,SAS,34,72,68,36.8%,130,261,49.8,50.6,36.0%,126,255,49.4,0.8%,4,6,66.7
Tony Allen,MEM,34,64,60,36.5%,89,171,52,52,35.9%,89,168,53,0.6%,0,3,0
Toney Douglas,NOP,30,61,49,31.9%,66,142,46.5,50,26.5%,56,118,47.5,5.4%,10,24,41.7
Tobias Harris,DET,23,75,74,32.5%,145,284,51.1,51.6,31.4%,142,274,51.8,1.1%,3,10,30
Timofey Mozgov,CLE,29,76,60,43.3%,100,155,64.5,64.5,43.3%,100,155,64.5,0.0%,0,0,-
Tim Hardaway Jr.,ATL,24,51,38,31.9%,37,84,44,47.6,23.2%,31,61,50.8,8.7%,6,23,26.1
Tim Frazier,NOP,25,51,31,36.2%,28,83,33.7,34.9,35.4%,26,81,32.1,0.9%,2,2,100
Tim Duncan,SAS,40,61,57,37.0%,86,163,52.8,52.8,36.7%,86,162,53.1,0.2%,0,1,0
Tibor Pleiss,UTA,26,12,5,32.0%,4,8,50,50,32.0%,4,8,50,0.0%,0,0,-
Tiago Splitter,ATL,31,36,33,49.7%,47,77,61,61,49.7%,47,77,61,0.0%,0,0,-
Thomas Robinson,BKN,25,71,46,39.5%,54,115,47,47,39.5%,54,115,47,0.0%,0,0,-
Thanasis Antetokounmpo,NYK,23,2,1,25.0%,1,1,100,100,25.0%,1,1,100,0.0%,0,0,-
Thaddeus Young,BKN,28,73,73,42.2%,219,405,54.1,54.2,41.8%,218,401,54.4,0.4%,1,4,25
Thabo Sefolosha,ATL,32,75,55,26.6%,51,98,52,53.1,25.2%,49,93,52.7,1.4%,2,5,40
Terry Rozier,BOS,22,38,25,42.7%,8,44,18.2,18.2,38.8%,8,40,20,3.9%,0,4,0
Terrence Ross,TOR,25,72,67,38.7%,101,239,42.3,49.2,22.9%,68,141,48.2,15.9%,33,98,33.7
Terrence Jones,HOU,24,50,42,37.1%,66,135,48.9,49.3,35.2%,65,128,50.8,1.9%,1,7,14.3
Tayshaun Prince,MIN,36,77,39,28.2%,29,64,45.3,46.1,26.0%,28,59,47.5,2.2%,1,5,20
Tarik Black,LAL,24,39,25,43.3%,27,45,60,60,43.3%,27,45,60,0.0%,0,0,-
Taj Gibson,CHI,31,73,68,40.6%,109,203,53.7,53.7,40.6%,109,203,53.7,0.0%,0,0,-
TJ Warren,PHX,22,47,45,39.1%,91,172,52.9,53.8,37.0%,88,163,54,2.0%,3,9,33.3
TJ McConnell,PHI,24,81,75,42.5%,89,197,45.2,45.2,41.6%,89,193,46.1,0.9%,0,4,0
Steven Adams,OKC,22,80,77,51.9%,141,219,64.4,64.4,51.9%,141,219,64.4,0.0%,0,0,-
Steve Novak,MIL,33,10,4,38.9%,3,7,42.9,64.3,5.6%,0,1,0,33.3%,3,6,50
Steve Blake,DET,36,58,43,26.7%,20,64,31.3,36.7,15.8%,13,38,34.2,10.8%,7,26,26.9
Stephen Curry,GSW,28,79,78,34.5%,270,550,49.1,57.6,19.7%,176,314,56.1,14.8%,94,236,39.8
Stanley Johnson,DET,20,73,68,30.1%,73,180,40.6,41.1,27.7%,71,166,42.8,2.3%,2,14,14.3
Spencer Hawes,CHA,28,57,39,29.5%,41,90,45.6,45.6,29.2%,41,89,46.1,0.3%,0,1,0
Spencer Dinwiddie,CHI,23,12,10,54.7%,11,29,37.9,37.9,50.9%,11,27,40.7,3.8%,0,2,0
Sonny Weems,PHX,29,43,17,23.9%,11,26,42.3,46.2,19.3%,9,21,42.9,4.6%,2,5,40
Solomon Hill,IND,25,59,30,34.3%,30,71,42.3,45.1,30.4%,26,63,41.3,3.9%,4,8,50
Shelvin Mack,UTA,26,52,45,37.6%,77,155,49.7,51,35.4%,73,146,50,2.2%,4,9,44.4
Shayne Whittington,IND,25,7,1,9.1%,1,1,100,100,9.1%,1,1,100,0.0%,0,0,-
Shaun Livingston,GSW,30,78,75,53.0%,103,201,51.2,51.2,52.2%,103,198,52,0.8%,0,3,0
Shane Larkin,BKN,23,78,74,36.9%,84,185,45.4,45.9,35.1%,82,176,46.6,1.8%,2,9,22.2
Shabazz Napier,ORL,24,55,32,31.3%,17,63,27,31,20.9%,12,42,28.6,10.4%,5,21,23.8
Shabazz Muhammad,MIN,23,82,75,35.6%,128,242,52.9,52.9,33.7%,128,229,55.9,1.9%,0,13,0
Seth Curry,SAC,25,43,32,35.0%,34,77,44.2,50,23.6%,25,52,48.1,11.4%,9,25,36
Sergey Karasev,BKN,22,40,20,38.4%,11,28,39.3,41.1,27.4%,10,20,50,11.0%,1,8,12.5
Serge Ibaka,OKC,26,78,74,24.0%,114,208,54.8,55.3,23.0%,112,199,56.3,1.0%,2,9,22.2
Sean Kilpatrick,BKN,26,31,24,30.7%,42,83,50.6,53.6,25.6%,37,69,53.6,5.2%,5,14,35.7
Sasha Vujacic,NYK,32,61,45,30.4%,26,84,31,36.3,19.9%,17,55,30.9,10.5%,9,29,31
Sasha Kaun,CLE,31,25,5,35.3%,2,6,33.3,33.3,35.3%,2,6,33.3,0.0%,0,0,-
Salah Mejri,DAL,30,34,18,42.3%,26,33,78.8,78.8,42.3%,26,33,78.8,0.0%,0,0,-
Ryan Kelly,LAL,25,36,22,31.5%,17,47,36.2,37.2,29.5%,16,44,36.4,2.0%,1,3,33.3
Ryan Hollins,MEM,31,37,24,58.2%,27,46,58.7,58.7,58.2%,27,46,58.7,0.0%,0,0,-
Ryan Anderson,NOP,28,66,65,29.3%,112,271,41.3,41.9,26.4%,109,244,44.7,2.9%,3,27,11.1
Russell Westbrook,OKC,27,80,80,38.4%,252,554,45.5,46.6,33.8%,240,487,49.3,4.6%,12,67,17.9
Russ Smith,MEM,25,15,6,31.8%,0,7,0,0,22.7%,0,5,0,9.1%,0,2,0
Rudy Gobert,UTA,24,61,57,45.5%,95,161,59,59,45.5%,95,161,59,0.0%,0,0,-
Rudy Gay,SAC,29,69,68,41.0%,193,407,47.4,48.5,38.7%,184,384,47.9,2.3%,9,23,39.1
Roy Hibbert,LAL,29,81,68,40.9%,82,167,49.1,49.1,40.7%,82,166,49.4,0.2%,0,1,0
Ronnie Price,PHX,33,62,43,28.2%,25,85,29.4,35.9,14.3%,14,43,32.6,14.0%,11,42,26.2
Rondae Hollis-Jefferson,BKN,21,29,22,37.0%,17,51,33.3,33.3,37.0%,17,51,33.3,0.0%,0,0,-
Rodney Stuckey,IND,30,58,55,44.1%,84,195,43.1,45.1,38.7%,76,171,44.4,5.4%,8,24,33.3
Rodney Hood,UTA,23,79,74,33.4%,129,324,39.8,44.9,22.7%,96,220,43.6,10.7%,33,104,31.7
Robin Lopez,NYK,28,82,78,40.6%,153,269,56.9,56.9,40.6%,153,269,56.9,0.0%,0,0,-
Robert Sacre,LAL,27,25,19,50.7%,15,38,39.5,39.5,50.7%,15,38,39.5,0.0%,0,0,-
Robert Covington,PHI,25,67,66,36.8%,104,262,39.7,49.6,16.0%,52,114,45.6,20.8%,52,148,35.1
Ricky Rubio,MIN,25,76,69,28.3%,60,166,36.1,38.3,24.9%,53,146,36.3,3.4%,7,20,35
Richaun Holmes,PHI,22,51,36,29.7%,43,66,65.2,65.2,28.4%,43,63,68.3,1.4%,0,3,0
Richard Jefferson,CLE,36,74,47,31.6%,32,98,32.7,35.2,19.0%,27,59,45.8,12.6%,5,39,12.8
Reggie Jackson,DET,26,79,79,43.2%,233,536,43.5,45,38.5%,217,478,45.4,4.7%,16,58,27.6
Reggie Bullock,DET,25,37,17,28.6%,12,28,42.9,46.4,21.4%,10,21,47.6,7.1%,2,7,28.6
Raymond Felton,DAL,32,80,77,34.2%,107,233,45.9,47,30.5%,102,208,49,3.7%,5,25,20
Ray McCallum,SAS,25,41,21,29.0%,18,42,42.9,44,26.9%,17,39,43.6,2.1%,1,3,33.3
Raul Neto,UTA,24,81,68,29.0%,55,121,45.5,48.3,24.9%,48,104,46.2,4.1%,7,17,41.2
Rasual Butler,SAS,37,46,21,28.8%,14,30,46.7,46.7,19.2%,14,20,70,9.6%,0,10,0
Rashad Vaughn,MIL,19,70,48,34.5%,29,91,31.9,35.2,23.5%,23,62,37.1,11.0%,6,29,20.7
Randy Foye,OKC,32,81,65,32.4%,56,156,35.9,39.1,23.1%,46,111,41.4,9.4%,10,45,22.2
Ramon Sessions,WAS,30,82,76,36.9%,114,218,52.3,52.3,35.7%,114,211,54,1.2%,0,7,0
Rakeem Christmas,IND,24,1,1,50.0%,1,1,100,100,50.0%,1,1,100,0.0%,0,0,-
Rajon Rondo,SAC,30,71,69,37.4%,144,290,49.7,51.4,33.4%,134,259,51.7,4.0%,10,31,32.3
RJ Hunter,BOS,22,35,15,24.7%,10,23,43.5,50,18.3%,7,17,41.2,6.5%,3,6,50
Quincy Acy,SAC,25,58,33,28.1%,41,59,69.5,69.5,27.6%,41,58,70.7,0.5%,0,1,0
Phil Pressey,POR,25,23,12,27.3%,11,21,52.4,52.4,27.3%,11,21,52.4,0.0%,0,0,-
Paul Pierce,LAC,38,68,57,33.8%,48,134,35.8,41,20.9%,34,83,41,12.8%,14,51,27.5
Paul Millsap,ATL,31,81,80,39.7%,219,422,51.9,52.1,38.9%,217,413,52.5,0.8%,2,9,22.2
Paul George,IND,26,81,80,39.4%,220,569,38.7,42.4,28.4%,178,411,43.3,10.9%,42,158,26.6
Pau Gasol,CHI,35,72,71,31.5%,139,313,44.4,44.6,31.1%,138,309,44.7,0.4%,1,4,25
Patty Mills,SAS,27,81,70,26.8%,77,164,47,53.4,19.0%,56,116,48.3,7.8%,21,48,43.8
Patrick Patterson,TOR,27,78,65,29.3%,60,142,42.3,44.4,22.9%,54,111,48.6,6.4%,6,31,19.4
Patrick Beverley,HOU,27,71,66,29.8%,77,177,43.5,48,22.6%,61,134,45.5,7.2%,16,43,37.2
Pat Connaughton,POR,23,34,13,30.6%,3,15,20,20,22.4%,3,11,27.3,8.2%,0,4,0
Pablo Prigioni,LAC,39,59,23,24.5%,15,36,41.7,43.1,19.0%,14,28,50,5.4%,1,8,12.5
PJ Tucker,PHX,31,82,68,28.0%,70,163,42.9,43.9,24.4%,67,142,47.2,3.6%,3,21,14.3
PJ Hairston,MEM,23,66,53,29.0%,45,118,38.1,41.1,20.6%,38,84,45.2,8.4%,7,34,20.6
Otto Porter,WAS,23,75,61,22.3%,84,160,52.5,54.4,19.9%,78,143,54.5,2.4%,6,17,35.3
Orlando Johnson,NOP,27,7,4,20.6%,2,7,28.6,28.6,11.8%,2,4,50,8.8%,0,3,0
Omri Casspi,SAC,28,69,66,29.3%,83,182,45.6,46.4,27.3%,80,170,47.1,1.9%,3,12,25
Omer Asik,NOP,29,68,42,53.9%,59,104,56.7,56.7,53.9%,59,104,56.7,0.0%,0,0,-
O.J. Mayo,MIL,28,41,36,33.6%,33,108,30.6,31.9,24.9%,30,80,37.5,8.7%,3,28,10.7
Norris Cole,NOP,27,45,43,35.7%,66,173,38.2,39.3,32.2%,62,156,39.7,3.5%,4,17,23.5
Norman Powell,TOR,23,48,31,28.8%,30,66,45.5,47,25.3%,28,58,48.3,3.5%,2,8,25
Noah Vonleh,POR,20,78,53,29.5%,46,82,56.1,56.1,29.1%,46,81,56.8,0.4%,0,1,0
Nikola Vucevic,ORL,25,64,64,40.1%,223,410,54.4,54.4,40.0%,223,409,54.5,0.1%,0,1,0
Nikola Pekovic,MIN,30,12,12,66.0%,11,33,33.3,33.3,66.0%,11,33,33.3,0.0%,0,0,-
Nikola Mirotic,CHI,25,66,54,24.3%,69,148,46.6,52,18.1%,53,110,48.2,6.3%,16,38,42.1
Nikola Jokic,DEN,21,80,72,38.7%,129,232,55.6,55.6,38.7%,129,232,55.6,0.0%,0,0,-
Nik Stauskas,PHI,22,73,62,26.8%,64,146,43.8,47.6,19.1%,53,104,51,7.7%,11,42,26.2
Nicolas Batum,CHA,27,70,66,37.4%,121,326,37.1,42,24.3%,89,212,42,13.1%,32,114,28.1
Nick Young,LAL,31,54,53,46.8%,58,174,33.3,42.2,19.4%,27,72,37.5,27.4%,31,102,30.4
Nick Collison,OKC,35,59,29,42.2%,23,46,50,50,42.2%,23,46,50,0.0%,0,0,-
Nerlens Noel,PHI,22,67,65,41.5%,120,243,49.4,49.4,41.5%,120,243,49.4,0.0%,0,0,-
Nene,WAS,33,57,52,37.2%,82,143,57.3,57.3,37.2%,82,143,57.3,0.0%,0,0,-
Nemanja Bjelica,MIN,28,60,37,23.0%,35,54,64.8,67.6,19.6%,32,46,69.6,3.4%,3,8,37.5
Nazr Mohammed,OKC,38,5,2,40.0%,2,2,100,100,40.0%,2,2,100,0.0%,0,0,-
Myles Turner,IND,20,60,53,34.9%,100,185,54.1,54.1,34.7%,100,184,54.3,0.2%,0,1,0
Montrezl Harrell,HOU,22,39,23,46.0%,28,40,70,70,46.0%,28,40,70,0.0%,0,0,-
Monta Ellis,IND,30,81,80,39.4%,175,402,43.5,45.8,33.7%,157,344,45.6,5.7%,18,58,31
Mo Williams,CLE,33,41,36,42.1%,54,127,42.5,47.2,32.5%,42,98,42.9,9.6%,12,29,41.4
Mitch McGary,OKC,24,20,5,34.8%,6,8,75,75,34.8%,6,8,75,0.0%,0,0,-
Mirza Teletovic,PHX,30,79,69,33.7%,109,261,41.8,48.9,20.5%,72,159,45.3,13.2%,37,102,36.3
Miles Plumlee,MIL,27,61,46,49.8%,67,116,57.8,57.8,49.8%,67,116,57.8,0.0%,0,0,-
Mike Scott,ATL,27,75,53,28.0%,51,105,48.6,50.5,24.5%,47,92,51.1,3.5%,4,13,30.8
Mike Muscala,ATL,24,60,28,29.8%,27,45,60,60,29.8%,27,45,60,0.0%,0,0,-
Mike Miller,DEN,36,47,3,4.8%,2,3,66.7,83.3,1.6%,1,1,100,3.2%,1,2,50
Mike Dunleavy,CHI,35,31,27,34.2%,25,64,39.1,43,24.6%,20,46,43.5,9.6%,5,18,27.8
Mike Conley,MEM,28,56,53,31.3%,87,218,39.9,40.8,28.4%,83,198,41.9,2.9%,4,20,20
Michael Kidd-Gilchrist,CHA,22,7,7,39.3%,14,24,58.3,58.3,37.7%,14,23,60.9,1.6%,0,1,0
Michael Carter-Williams,MIL,24,54,53,42.5%,104,236,44.1,44.5,40.7%,102,226,45.1,1.8%,2,10,20
Michael Beasley,HOU,27,20,18,44.9%,53,92,57.6,57.6,44.4%,53,91,58.2,0.5%,0,1,0
Meyers Leonard,POR,24,61,40,18.4%,32,80,40,41.9,14.9%,29,65,44.6,3.4%,3,15,20
Metta World Peace,LAL,36,35,24,23.7%,13,42,31,34.5,17.5%,10,31,32.3,6.2%,3,11,27.3
Maurice Harkless,POR,23,78,61,33.7%,77,138,55.8,56.9,30.8%,74,126,58.7,2.9%,3,12,25
Matthew Dellavedova,CLE,25,76,63,31.9%,64,163,39.3,41.4,26.8%,57,137,41.6,5.1%,7,26,26.9
Matt Bonner,SAS,36,30,9,19.3%,8,11,72.7,72.7,17.5%,8,10,80,1.8%,0,1,0
Matt Barnes,MEM,36,76,64,25.9%,83,179,46.4,50,19.9%,70,138,50.7,5.9%,13,41,31.7
Mason Plumlee,POR,26,82,79,44.7%,119,230,51.7,51.7,44.4%,119,228,52.2,0.4%,0,2,0
Marvin Williams,CHA,30,81,70,25.5%,108,190,56.8,60.8,21.6%,93,161,57.8,3.9%,15,29,51.7
Marreese Speights,GSW,28,72,54,30.5%,49,139,35.3,35.6,29.5%,48,134,35.8,1.1%,1,5,20
Markieff Morris,WAS,26,64,63,31.0%,107,222,48.2,48.4,30.3%,106,217,48.8,0.7%,1,5,20
Markel Brown,BKN,24,62,40,31.9%,40,102,39.2,42.2,25.0%,34,80,42.5,6.9%,6,22,27.3
Mario Hezonja,ORL,21,78,53,30.9%,54,128,42.2,43.4,24.4%,51,101,50.5,6.5%,3,27,11.1
Mario Chalmers,MIA,30,61,56,36.6%,68,162,42,43.5,31.6%,63,140,45,5.0%,5,22,22.7
Marcus Thornton,WAS,29,61,57,41.3%,85,224,37.9,42,27.7%,67,150,44.7,13.7%,18,74,24.3
Marcus Smart,BOS,22,61,59,35.9%,65,190,34.2,36.8,26.5%,55,140,39.3,9.5%,10,50,20
Marcus Morris,DET,26,80,79,41.6%,162,392,41.3,42.2,36.6%,155,345,44.9,5.0%,7,47,14.9
Marco Belinelli,SAC,30,67,63,32.9%,77,206,37.4,41,22.6%,62,142,43.7,10.2%,15,64,23.4
Marcin Gortat,WAS,32,75,75,53.9%,239,412,58,58,53.9%,239,412,58,0.0%,0,0,-
Marcelo Huertas,LAL,33,53,41,39.6%,44,91,48.4,48.4,38.3%,44,88,50,1.3%,0,3,0
Marc Gasol,MEM,31,52,50,31.3%,115,221,52,52,31.3%,115,221,52,0.0%,0,0,-
Manu Ginobili,SAS,38,58,50,27.9%,48,121,39.7,41.7,24.2%,43,105,41,3.7%,5,16,31.3
Luol Deng,MIA,31,74,69,33.8%,130,252,51.6,53.2,30.6%,122,228,53.5,3.2%,8,24,33.3
Luke Babbitt,NOP,27,47,27,37.4%,44,108,40.7,40.7,34.9%,44,101,43.6,2.4%,0,7,0
Luis Scola,TOR,36,75,66,36.6%,102,216,47.2,48.4,33.9%,97,200,48.5,2.7%,5,16,31.3
Luis Montero,POR,23,12,4,26.3%,1,5,20,20,10.5%,1,2,50,15.8%,0,3,0
Lucas Nogueira,TOR,23,29,10,50.0%,15,22,68.2,68.2,50.0%,15,22,68.2,0.0%,0,0,-
Luc Mbah a Moute,LAC,29,75,41,35.7%,40,74,54.1,54.7,34.3%,39,71,54.9,1.4%,1,3,33.3
Lou Williams,LAL,29,67,67,40.3%,112,279,40.1,47,24.0%,74,166,44.6,16.3%,38,113,33.6
Lou Amundson,NYK,33,29,13,38.5%,10,20,50,50,38.5%,10,20,50,0.0%,0,0,-
Lorenzo Brown,DET,25,8,7,40.0%,5,10,50,50,36.0%,5,9,55.6,4.0%,0,1,0
Leandro Barbosa,GSW,33,68,56,31.9%,59,118,50,50.8,29.5%,57,109,52.3,2.4%,2,9,22.2
LeBron James,CLE,31,76,76,37.9%,294,535,55,55.9,35.1%,284,496,57.3,2.8%,10,39,25.6
Lavoy Allen,IND,27,79,58,36.5%,72,135,53.3,53.3,36.5%,72,135,53.3,0.0%,0,0,-
Larry Nance Jr.,LAL,23,63,43,34.3%,59,103,57.3,57.3,34.3%,59,103,57.3,0.0%,0,0,-
Langston Galloway,NYK,24,82,69,35.9%,89,211,42.2,46,27.6%,73,162,45.1,8.3%,16,49,32.7
Lance Thomas,NYK,28,59,49,32.2%,51,123,41.5,42.7,29.3%,48,112,42.9,2.9%,3,11,27.3
Lance Stephenson,MEM,25,69,54,32.9%,83,156,53.2,53.5,31.6%,82,150,54.7,1.3%,1,6,16.7
Lamar Patterson,ATL,24,35,12,17.7%,8,14,57.1,64.3,15.2%,6,12,50,2.5%,2,2,100
LaMarcus Aldridge,SAS,30,74,74,35.6%,202,372,54.3,54.3,35.4%,202,370,54.6,0.2%,0,2,0
Kyrie Irving,CLE,24,53,53,41.5%,158,364,43.4,45.9,34.2%,140,300,46.7,7.3%,18,64,28.1
Kyle Singler,OKC,28,68,37,26.2%,27,58,46.6,48.3,23.5%,25,52,48.1,2.7%,2,6,33.3
Kyle O'Quinn,NYK,26,65,40,24.0%,26,65,40,40,23.6%,26,64,40.6,0.4%,0,1,0
Kyle Lowry,TOR,30,76,76,40.7%,196,479,40.9,46.9,26.5%,139,312,44.6,14.2%,57,167,34.1
Kyle Korver,ATL,35,80,75,33.1%,88,203,43.3,53.4,15.8%,47,97,48.5,17.3%,41,106,38.7
Kyle Anderson,SAS,22,78,52,34.4%,41,101,40.6,40.6,34.0%,41,100,41,0.3%,0,1,0
Kristaps Porzingis,NYK,20,72,70,36.0%,132,318,41.5,41.8,34.4%,130,304,42.8,1.6%,2,14,14.3
Kris Humphries,ATL,31,53,41,24.1%,36,71,50.7,50.7,22.8%,36,67,53.7,1.4%,0,4,0
Kostas Papanikolaou,DEN,25,26,10,27.3%,6,18,33.3,33.3,21.2%,6,14,42.9,6.1%,0,4,0
Kosta Koufos,SAC,27,77,67,53.4%,125,233,53.6,53.6,53.4%,125,233,53.6,0.0%,0,0,-
Kobe Bryant,LAL,37,66,65,53.2%,208,591,35.2,40.4,34.8%,147,386,38.1,18.5%,61,205,29.8
Klay Thompson,GSW,26,80,80,37.1%,231,513,45,50.7,26.2%,173,363,47.7,10.8%,58,150,38.7
Kirk Hinrich,ATL,35,46,27,28.7%,13,37,35.1,39.2,23.3%,10,30,33.3,5.4%,3,7,42.9
Khris Middleton,MIL,24,79,79,48.8%,236,556,42.4,45.7,38.0%,200,433,46.2,10.8%,36,123,29.3
Kevon Looney,GSW,20,5,1,14.3%,1,1,100,100,14.3%,1,1,100,0.0%,0,0,-
Kevin Seraphin,NYK,26,48,38,48.5%,43,99,43.4,43.4,48.0%,43,98,43.9,0.5%,0,1,0
Kevin Martin,SAS,33,55,51,47.0%,70,197,35.5,39.3,36.5%,55,153,35.9,10.5%,15,44,34.1
Kevin Love,CLE,27,77,72,27.3%,125,266,47,49.8,23.7%,110,231,47.6,3.6%,15,35,42.9
Kevin Garnett,MIN,40,38,24,28.7%,12,33,36.4,36.4,28.7%,12,33,36.4,0.0%,0,0,-
Kevin Durant,OKC,27,72,72,49.2%,345,678,50.9,55.8,36.5%,279,503,55.5,12.7%,66,175,37.7
Kentavious Caldwell-Pope,DET,23,76,74,35.0%,154,335,46,48.2,28.0%,139,268,51.9,7.0%,15,67,22.4
Kent Bazemore,ATL,26,75,73,31.6%,112,228,49.1,50,28.4%,108,205,52.7,3.2%,4,23,17.4
Kenneth Faried,DEN,26,67,66,46.0%,161,288,55.9,55.9,46.0%,161,288,55.9,0.0%,0,0,-
Kendrick Perkins,NOP,31,37,17,44.0%,23,33,69.7,69.7,44.0%,23,33,69.7,0.0%,0,0,-
Kendall Marshall,PHI,24,30,21,29.1%,15,34,44.1,44.1,28.2%,15,33,45.5,0.9%,0,1,0
Kemba Walker,CHA,26,81,81,38.1%,206,506,40.7,44.2,29.0%,171,386,44.3,9.0%,35,120,29.2
Kelly Oubre Jr.,WAS,20,63,38,32.7%,33,69,47.8,49.3,29.4%,31,62,50,3.3%,2,7,28.6
Kelly Olynyk,BOS,25,68,59,29.4%,71,160,44.4,44.7,27.6%,70,150,46.7,1.8%,1,10,10
Keith Appling,ORL,24,5,3,50.0%,2,4,50,50,37.5%,2,3,66.7,12.5%,0,1,0
Kawhi Leonard,SAS,25,72,72,35.1%,202,382,52.9,54.3,32.0%,191,348,54.9,3.1%,11,34,32.4
Karl-Anthony Towns,MIN,20,82,80,30.8%,214,354,60.5,60.7,30.3%,212,349,60.7,0.4%,2,5,40
KJ McDaniels,HOU,23,37,13,25.0%,6,18,33.3,33.3,23.6%,6,17,35.3,1.4%,0,1,0
Jusuf Nurkic,DEN,21,32,30,49.4%,53,119,44.5,44.5,49.4%,53,119,44.5,0.0%,0,0,-
Justise Winslow,MIA,20,78,69,36.1%,75,167,44.9,45.2,34.3%,74,159,46.5,1.7%,1,8,12.5
Justin Holiday,CHI,27,53,30,30.4%,21,69,30.4,31.9,25.6%,19,58,32.8,4.8%,2,11,18.2
Justin Harper,BKN,26,5,1,10.0%,0,1,0,0,10.0%,0,1,0,0.0%,0,0,-
Justin Anderson,DAL,22,55,31,26.4%,19,46,41.3,43.5,21.8%,17,38,44.7,4.6%,2,8,25
Julius Randle,LAL,21,81,75,35.6%,144,297,48.5,48.7,35.5%,143,296,48.3,0.1%,1,1,100
Jrue Holiday,NOP,26,65,65,39.1%,173,365,47.4,48.9,35.3%,162,330,49.1,3.7%,11,35,31.4
Josh Smith,HOU,30,55,43,29.8%,47,104,45.2,45.2,27.5%,47,96,49,2.3%,0,8,0
Josh Richardson,MIA,22,52,36,40.4%,46,110,41.8,45.9,30.9%,37,84,44,9.6%,9,26,34.6
Josh McRoberts,MIA,29,42,23,27.7%,21,41,51.2,52.4,27.0%,20,40,50,0.7%,1,1,100
Josh Huestis,OKC,24,5,3,33.3%,0,4,0,0,25.0%,0,3,0,8.3%,0,1,0
