PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Zaza Pachulia,DAL,32,76,69,37.8%,95,178,53.4,53.4,37.6%,95,177,53.7,0.2%,0,1,0
Zach Randolph,MEM,34,68,67,35.5%,158,322,49.1,49.1,35.2%,158,319,49.5,0.3%,0,3,0
Zach LaVine,MIN,21,82,80,35.3%,147,337,43.6,46.4,28.8%,128,275,46.5,6.5%,19,62,30.6
Xavier Munford,MEM,24,14,12,34.2%,10,26,38.5,42.3,27.6%,8,21,38.1,6.6%,2,5,40
Willie Reed,BKN,26,39,30,45.9%,38,61,62.3,62.3,45.9%,38,61,62.3,0.0%,0,0,-
Willie Cauley-Stein,SAC,22,65,55,46.6%,83,157,52.9,52.9,46.6%,83,157,52.9,0.0%,0,0,-
Will Barton,DEN,25,82,80,40.0%,182,393,46.3,49.6,32.5%,156,319,48.9,7.5%,26,74,35.1
Wesley Matthews,DAL,29,78,73,27.5%,89,235,37.9,42.1,18.6%,69,159,43.4,8.9%,20,76,26.3
Wesley Johnson,LAC,28,80,60,24.7%,53,127,41.7,47.6,15.7%,38,81,46.9,8.9%,15,46,32.6
Wayne Ellington,BKN,28,76,67,31.7%,71,178,39.9,44.4,24.4%,55,137,40.1,7.3%,16,41,39
Vince Carter,MEM,39,60,48,33.2%,47,114,41.2,47.8,22.2%,32,76,42.1,11.1%,15,38,39.5
Victor Oladipo,ORL,24,71,70,28.9%,127,274,46.4,48.4,26.1%,116,247,47,2.8%,11,27,40.7
Udonis Haslem,MIA,36,37,12,26.2%,3,16,18.8,18.8,24.6%,3,15,20,1.6%,0,1,0
Tyus Jones,MIN,20,37,33,44.9%,25,70,35.7,37.9,39.7%,22,62,35.5,5.1%,3,8,37.5
Tyson Chandler,PHX,33,66,53,44.1%,87,138,63,63,44.1%,87,138,63,0.0%,0,0,-
Tyreke Evans,NOP,26,25,23,38.3%,57,120,47.5,48.8,34.2%,54,107,50.5,4.2%,3,13,23.1
Tyler Zeller,BOS,26,59,44,34.0%,54,98,55.1,55.1,34.0%,54,98,55.1,0.0%,0,0,-
Tyler Johnson,MIA,24,36,30,37.2%,43,90,47.8,48.3,34.3%,42,83,50.6,2.9%,1,7,14.3
Tyler Hansbrough,CHA,30,44,14,33.8%,13,24,54.2,54.2,33.8%,13,24,54.2,0.0%,0,0,-
Tyler Ennis,MIL,21,46,37,43.9%,39,82,47.6,47.6,43.3%,39,81,48.1,0.5%,0,1,0
Ty Lawson,IND,28,66,51,32.3%,45,114,39.5,39.5,29.7%,45,105,42.9,2.5%,0,9,0
Troy Daniels,CHA,24,43,30,28.3%,21,53,39.6,47.2,16.0%,13,30,43.3,12.3%,8,23,34.8
Tristan Thompson,CLE,25,82,72,48.1%,116,201,57.7,57.7,48.1%,116,201,57.7,0.0%,0,0,-
