PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Miles Plumlee,MIL,27,61,27,16.3%,27,38,71.1,71.1,16.3%,27,38,71.1,0.0%,0,0,-
Mirza Teletovic,PHX,30,79,74,40.1%,132,311,42.4,57.9,8.5%,36,66,54.5,31.6%,96,245,39.2
Mitch McGary,OKC,24,20,5,30.4%,3,7,42.9,42.9,21.7%,3,5,60,8.7%,0,2,0
Mo Williams,CLE,33,41,35,35.1%,48,106,45.3,50.9,21.2%,36,64,56.3,13.9%,12,42,28.6
Monta Ellis,IND,30,81,80,31.3%,120,319,37.6,41.8,20.1%,93,205,45.4,11.2%,27,114,23.7
Montrezl Harrell,HOU,22,39,10,14.9%,11,13,84.6,84.6,14.9%,11,13,84.6,0.0%,0,0,-
Myles Turner,IND,20,60,54,24.7%,60,131,45.8,46.2,24.5%,59,130,45.4,0.2%,1,1,100
Nazr Mohammed,OKC,38,5,1,20.0%,1,1,100,100,20.0%,1,1,100,0.0%,0,0,-
Nemanja Bjelica,MIN,28,60,39,30.2%,23,71,32.4,41.5,8.1%,10,19,52.6,22.1%,13,52,25
Nene,WAS,33,57,43,21.6%,37,83,44.6,44.6,21.4%,37,82,45.1,0.3%,0,1,0
Nerlens Noel,PHI,22,67,47,17.3%,63,101,62.4,62.4,17.3%,63,101,62.4,0.0%,0,0,-
Nick Collison,OKC,35,59,13,12.8%,6,14,42.9,42.9,12.8%,6,14,42.9,0.0%,0,0,-
Nick Young,LAL,31,54,49,34.7%,40,129,31,41.9,11.0%,12,41,29.3,23.7%,28,88,31.8
Nicolas Batum,CHA,27,70,68,31.9%,125,278,45,55,15.3%,69,133,51.9,16.6%,56,145,38.6
Nik Stauskas,PHI,22,73,60,29.4%,55,160,34.4,47.5,5.5%,13,30,43.3,23.9%,42,130,32.3
Nikola Jokic,DEN,21,80,51,20.0%,64,120,53.3,57.1,16.0%,55,96,57.3,4.0%,9,24,37.5
Nikola Mirotic,CHI,25,66,63,39.6%,92,241,38.2,51.7,12.0%,27,73,37,27.6%,65,168,38.7
Nikola Pekovic,MIN,30,12,5,14.0%,5,7,71.4,71.4,14.0%,5,7,71.4,0.0%,0,0,-
Nikola Vucevic,ORL,25,64,63,23.1%,124,236,52.5,53,22.8%,122,233,52.4,0.3%,2,3,66.7
Noah Vonleh,POR,20,78,30,15.5%,19,43,44.2,48.8,12.2%,15,34,44.1,3.2%,4,9,44.4
Norman Powell,TOR,23,48,32,33.6%,31,77,40.3,47.4,17.0%,20,39,51.3,16.6%,11,38,28.9
Norris Cole,NOP,27,45,45,36.0%,69,174,39.7,42.5,28.1%,59,136,43.4,7.9%,10,38,26.3
O.J. Mayo,MIL,28,41,35,41.4%,55,133,41.4,54.1,12.8%,21,41,51.2,28.7%,34,92,37
Omer Asik,NOP,29,68,11,6.2%,9,12,75,75,6.2%,9,12,75,0.0%,0,0,-
Omri Casspi,SAC,28,69,60,24.0%,80,149,53.7,65.4,9.8%,45,61,73.8,14.1%,35,88,39.8
Orlando Johnson,NOP,27,7,5,32.4%,3,11,27.3,31.8,17.6%,2,6,33.3,14.7%,1,5,20
Otto Porter,WAS,23,75,73,37.0%,126,265,47.5,54.7,21.6%,88,155,56.8,15.3%,38,110,34.5
PJ Hairston,MEM,23,66,58,33.4%,46,136,33.8,45.6,7.4%,14,30,46.7,26.0%,32,106,30.2
PJ Tucker,PHX,31,82,57,19.8%,44,115,38.3,47.4,8.4%,23,49,46.9,11.3%,21,66,31.8
Pablo Prigioni,LAC,39,59,31,33.3%,15,49,30.6,39.8,7.5%,6,11,54.5,25.9%,9,38,23.7
Pat Connaughton,POR,23,34,8,20.4%,2,10,20,25,10.2%,1,5,20,10.2%,1,5,20
Patrick Beverley,HOU,27,71,69,37.2%,88,221,39.8,52.5,12.6%,32,75,42.7,24.6%,56,146,38.4
Patrick Patterson,TOR,27,78,63,27.8%,45,135,33.3,44.1,8.2%,16,40,40,19.6%,29,95,30.5
Patty Mills,SAS,27,81,74,38.1%,84,233,36.1,45.1,15.8%,42,97,43.3,22.2%,42,136,30.9
Pau Gasol,CHI,35,72,71,26.7%,120,265,45.3,47,23.9%,111,237,46.8,2.8%,9,28,32.1
Paul George,IND,26,81,81,32.7%,207,472,43.9,54.7,15.6%,105,225,46.7,17.1%,102,247,41.3
Paul Millsap,ATL,31,81,78,24.7%,128,263,48.7,54,17.1%,100,182,54.9,7.6%,28,81,34.6
Paul Pierce,LAC,38,68,59,37.0%,51,147,34.7,45.2,10.1%,20,40,50,27.0%,31,107,29
Phil Pressey,POR,25,23,8,23.4%,9,18,50,55.6,15.6%,7,12,58.3,7.8%,2,6,33.3
Quincy Acy,SAC,25,58,22,19.0%,21,40,52.5,55,14.8%,19,31,61.3,4.3%,2,9,22.2
RJ Hunter,BOS,22,35,23,40.9%,11,38,28.9,35.5,10.8%,6,10,60,30.1%,5,28,17.9
Rajon Rondo,SAC,30,71,67,30.8%,104,239,43.5,48.5,22.2%,80,172,46.5,8.6%,24,67,35.8
Ramon Sessions,WAS,30,82,62,20.1%,58,119,48.7,54.2,13.5%,45,80,56.3,6.6%,13,39,33.3
Randy Foye,OKC,32,81,73,33.7%,45,162,27.8,38,7.9%,12,38,31.6,25.8%,33,124,26.6
Rashad Vaughn,MIL,19,70,42,29.2%,25,77,32.5,44.2,7.2%,7,19,36.8,22.0%,18,58,31
Rasual Butler,SAS,37,46,16,26.0%,12,27,44.4,53.7,9.6%,7,10,70,16.3%,5,17,29.4
Raul Neto,UTA,24,81,75,39.3%,68,164,41.5,52.7,19.2%,31,80,38.8,20.1%,37,84,44
