PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Aaron Brooks,CHI,31,69,31,8.1%,14,38,36.8,53.9,1.7%,1,8,12.5,6.4%,13,30,43.3
Aaron Gordon,ORL,20,77,57,21.8%,43,126,34.1,46,5.2%,13,30,43.3,16.6%,30,96,31.3
Aaron Harrison,CHA,21,21,5,36.8%,1,7,14.3,21.4,5.3%,0,1,0,31.6%,1,6,16.7
Adreian Payne,MIN,25,52,16,14.6%,8,21,38.1,45.2,6.9%,5,10,50,7.6%,3,11,27.3
Al Horford,ATL,30,82,81,38.1%,168,399,42.1,51.9,17.0%,90,178,50.6,21.1%,78,221,35.3
Al Jefferson,CHA,31,47,24,5.9%,18,30,60,60,5.9%,18,30,60,0.0%,0,0,-
Al-Farouq Aminu,POR,25,82,73,34.0%,85,244,34.8,48.4,5.3%,19,38,50,28.7%,66,206,32
Alan Anderson,WAS,33,13,3,6.8%,2,4,50,62.5,1.7%,1,1,100,5.1%,1,3,33.3
Alan Williams,PHX,23,10,1,4.2%,0,1,0,0,4.2%,0,1,0,0.0%,0,0,-
Alec Burks,UTA,24,31,26,17.4%,29,58,50,66.4,5.1%,10,17,58.8,12.3%,19,41,46.3
Alex Len,PHX,23,78,54,16.0%,40,99,40.4,40.9,15.3%,39,95,41.1,0.6%,1,4,25
Alexis Ajinca,NOP,28,59,36,20.7%,33,65,50.8,50.8,20.7%,33,65,50.8,0.0%,0,0,-
Allen Crabbe,POR,24,81,69,24.8%,84,167,50.3,67.7,6.7%,26,45,57.8,18.1%,58,122,47.5
Alonzo Gee,NOP,29,73,39,25.6%,31,65,47.7,56.2,11.4%,20,29,69,14.2%,11,36,30.6
Amar'e Stoudemire,MIA,33,52,18,9.5%,12,21,57.1,57.1,9.5%,12,21,57.1,0.0%,0,0,-
Amir Johnson,BOS,29,78,31,10.2%,21,43,48.8,54.7,4.7%,16,20,80,5.5%,5,23,21.7
Anderson Varejao,GSW,33,53,23,29.0%,17,36,47.2,47.2,28.2%,17,35,48.6,0.8%,0,1,0
Andre Drummond,DET,22,81,25,2.7%,20,28,71.4,71.4,2.5%,20,26,76.9,0.2%,0,2,0
