PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,1,3,33.3
Aaron Brooks,IND,32,5,11,45.5,4,5,80,6,23,26.1,1,1,100,1,1,100,3,14,21.4
Aaron Gordon,ORL,21,9,26,34.6,13,22,59.1,14,46,30.4,4,7,57.1,2,4,50,10,38,26.3
Aaron Harrison,CHA,22,3,3,100,-,-,-,0,0,0,-,-,-,0,1,0,0,2,0
Adreian Payne,MIN,25,1,2,50,1,1,100,0,2,0,-,-,-,0,1,0,0,4,0
Al Horford,BOS,30,18,36,50,11,27,40.7,12,29,41.4,1,5,20,0,5,0,4,26,15.4
Al Jefferson,IND,32,7,11,63.6,3,3,100,7,23,30.4,2,2,100,1,2,50,6,19,31.6
Al-Farouq Aminu,POR,26,13,27,48.1,6,14,42.9,9,30,30,0,3,0,1,5,20,8,31,25.8
Alan Anderson,LAC,34,0,2,0,0,1,0,3,9,33.3,0,2,0,0,1,0,0,2,0
Alan Williams,PHX,24,1,2,50,0,3,0,4,9,44.4,0,0,0,1,1,100,1,4,25
Alec Burks,UTA,25,2,4,50,0,3,0,1,5,20,2,3,66.7,0,1,0,0,2,0
Alex Abrines,OKC,23,7,15,46.7,7,16,43.8,5,14,35.7,1,2,50,0,2,0,7,15,46.7
Alex Len,PHX,23,10,14,71.4,2,13,15.4,8,25,32,2,2,100,3,4,75,9,29,31
Alexis Ajinca,NOP,28,3,8,37.5,1,2,50,2,7,28.6,2,4,50,1,1,100,3,8,37.5
Allen Crabbe,POR,24,25,42,59.5,8,21,38.1,12,41,29.3,3,5,60,1,5,20,14,45,31.1
Alonzo Gee,DEN,29,1,4,25,0,2,0,1,2,50,0,0,0,-,-,-,1,3,33.3
Amir Johnson,BOS,29,9,14,64.3,12,18,66.7,6,23,26.1,0,4,0,1,6,16.7,8,29,27.6
Anderson Varejao,GSW,34,1,1,100,0,0,0,1,1,100,-,-,-,1,1,100,0,3,0
Andre Drummond,DET,23,13,21,61.9,10,28,35.7,19,52,36.5,2,5,40,0,5,0,10,36,27.8
