PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,15,23,65.2,2,6,33.3,6,15,40,0,4,0,0,2,0,3,11,27.3
Aaron Brooks,IND,32,71,116,61.2,29,72,40.3,53,145,36.6,10,20,50,5,22,22.7,36,107,33.6
Aaron Gordon,ORL,21,194,320,60.6,81,176,46,121,300,40.3,14,44,31.8,19,31,61.3,82,232,35.3
Aaron Harrison,CHA,22,1,2,50,0,1,0,2,5,40,-,-,-,0,0,0,0,1,0
Adreian Payne,MIN,25,12,25,48,4,9,44.4,6,11,54.5,0,1,0,1,2,50,6,10,60
Al Horford,BOS,30,152,251,60.6,78,176,44.3,110,287,38.3,12,30,40,16,31,51.6,86,218,39.4
Al Jefferson,IND,32,77,123,62.6,36,67,53.7,61,160,38.1,12,20,60,5,18,27.8,49,140,35
Al-Farouq Aminu,POR,26,102,182,56,52,130,40,89,225,39.6,8,33,24.2,7,23,30.4,66,172,38.4
Alan Anderson,LAC,34,27,37,73,12,18,66.7,14,38,36.8,2,4,50,5,10,50,17,41,41.5
Alan Williams,PHX,24,21,36,58.3,5,16,31.3,7,23,30.4,0,0,0,1,3,33.3,2,14,14.3
Alec Burks,UTA,25,19,35,54.3,12,27,44.4,8,28,28.6,2,4,50,1,3,33.3,8,29,27.6
Alex Abrines,OKC,23,97,165,58.8,42,97,43.3,48,125,38.4,6,16,37.5,4,11,36.4,40,82,48.8
Alex Len,PHX,23,125,208,60.1,48,114,42.1,87,196,44.4,8,25,32,7,22,31.8,61,152,40.1
Alexis Ajinca,NOP,28,45,72,62.5,20,48,41.7,28,68,41.2,2,4,50,7,15,46.7,26,69,37.7
Allen Crabbe,POR,24,168,289,58.1,102,207,49.3,132,308,42.9,12,39,30.8,15,33,45.5,99,256,38.7
Alonzo Gee,DEN,29,9,14,64.3,8,19,42.1,9,19,47.4,0,1,0,0,3,0,6,11,54.5
Amir Johnson,BOS,29,102,174,58.6,54,125,43.2,96,227,42.3,10,24,41.7,5,18,27.8,56,161,34.8
Anderson Varejao,GSW,34,16,19,84.2,5,14,35.7,11,16,68.8,2,4,50,0,1,0,6,16,37.5
Andre Drummond,DET,23,176,281,62.6,113,243,46.5,159,361,44,19,41,46.3,17,43,39.5,104,259,40.2
Andre Iguodala,GSW,33,132,233,56.7,64,158,40.5,89,215,41.4,8,33,24.2,16,35,45.7,77,222,34.7
Andre Roberson,OKC,25,235,405,58,79,191,41.4,119,304,39.1,23,53,43.4,18,46,39.1,97,239,40.6
Andrew Bogut,DAL,32,43,73,58.9,33,83,39.8,43,137,31.4,4,15,26.7,11,21,52.4,33,85,38.8
Andrew Harrison,MEM,22,130,207,62.8,36,109,33,75,180,41.7,17,42,40.5,9,27,33.3,73,205,35.6
Andrew Nicholson,WAS,27,25,40,62.5,10,23,43.5,18,55,32.7,7,12,58.3,4,10,40,16,42,38.1
Andrew Wiggins,MIN,21,243,404,60.1,87,208,41.8,155,344,45.1,21,54,38.9,27,58,46.6,118,317,37.2
Anthony Bennett,BKN,23,34,61,55.7,13,31,41.9,29,56,51.8,4,12,33.3,6,9,66.7,21,54,38.9
Anthony Brown,ORL,24,23,40,57.5,4,19,21.1,13,30,43.3,4,10,40,4,9,44.4,10,25,40
Anthony Davis,NOP,23,217,361,60.1,84,224,37.5,121,339,35.7,17,50,34,16,42,38.1,109,325,33.5
Anthony Morrow,OKC,31,84,144,58.3,25,61,41,45,93,48.4,6,14,42.9,4,10,40,22,62,35.5
Anthony Tolliver,SAC,31,95,146,65.1,44,101,43.6,60,131,45.8,11,33,33.3,5,15,33.3,63,174,36.2
Archie Goodwin,NOP,22,8,10,80,2,4,50,0,2,0,0,0,0,1,2,50,4,6,66.7
Arinze Onuaku,ORL,29,5,6,83.3,1,2,50,2,7,28.6,0,1,0,-,-,-,4,8,50
Aron Baynes,DET,30,76,133,57.1,45,110,40.9,52,152,34.2,11,25,44,5,16,31.3,30,103,29.1
Arron Afflalo,SAC,31,100,175,57.1,75,144,52.1,84,211,39.8,12,38,31.6,15,37,40.5,70,191,36.6
Austin Rivers,LAC,24,157,238,66,66,155,42.6,95,268,35.4,13,35,37.1,9,34,26.5,61,178,34.3
Avery Bradley,BOS,26,157,253,62.1,84,182,46.2,102,263,38.8,16,34,47.1,7,21,33.3,73,223,32.7
Ben McLemore,SAC,23,48,86,55.8,26,54,48.1,50,106,47.2,9,22,40.9,6,13,46.2,41,101,40.6
Beno Udrih,DET,34,51,86,59.3,27,73,37,32,89,36,7,15,46.7,5,15,33.3,21,65,32.3
Bismack Biyombo,ORL,24,158,277,57,70,157,44.6,97,236,41.1,20,49,40.8,13,28,46.4,79,224,35.3
Blake Griffin,LAC,27,104,174,59.8,57,135,42.2,73,223,32.7,12,32,37.5,5,22,22.7,57,141,40.4
Boban Marjanovic,DET,28,15,26,57.7,6,25,24,19,43,44.2,1,4,25,2,6,33.3,13,26,50
Bobby Brown,HOU,32,4,6,66.7,2,5,40,1,5,20,1,1,100,1,1,100,4,5,80
Bobby Portis,CHI,21,55,81,67.9,18,52,34.6,23,72,31.9,8,13,61.5,4,13,30.8,30,75,40
Bojan Bogdanovic,BKN,27,176,304,57.9,80,187,42.8,144,311,46.3,28,50,56,23,49,46.9,80,212,37.7
Boris Diaw,UTA,34,73,136,53.7,40,104,38.5,57,146,39,6,14,42.9,9,26,34.6,47,102,46.1
Bradley Beal,WAS,23,156,261,59.8,86,198,43.4,135,310,43.5,14,42,33.3,15,41,36.6,100,276,36.2
Brandan Wright,MEM,29,0,0,0,0,1,0,0,1,0,0,1,0,-,-,-,-,-,-
Brandon Bass,LAC,31,62,88,70.5,13,44,29.5,27,70,38.6,6,12,50,3,11,27.3,27,71,38
Brandon Ingram,LAL,19,198,306,64.7,68,174,39.1,121,288,42,16,47,34,24,42,57.1,92,247,37.2
Brandon Jennings,NYK,27,182,325,56,58,145,40,92,221,41.6,13,30,43.3,11,44,25,82,237,34.6
Brandon Knight,PHX,25,142,231,61.5,53,122,43.4,91,214,42.5,10,24,41.7,6,18,33.3,63,167,37.7
Brandon Rush,MIN,31,22,46,47.8,11,20,55,18,45,40,3,5,60,0,3,0,17,38,44.7
Brian Roberts,CHA,31,7,11,63.6,2,3,66.7,7,19,36.8,2,3,66.7,0,2,0,1,16,6.3
Brook Lopez,BKN,28,174,297,58.6,81,191,42.4,137,318,43.1,19,49,38.8,23,45,51.1,79,212,37.3
Bruno Caboclo,TOR,21,1,3,33.3,0,3,0,0,2,0,1,2,50,0,1,0,2,5,40
Bryn Forbes,SAS,23,13,19,68.4,2,6,33.3,5,12,41.7,0,1,0,0,1,0,4,15,26.7
Buddy Hield,NOP,23,149,230,64.8,58,125,46.4,73,186,39.2,12,32,37.5,14,34,41.2,70,207,33.8
CJ McCollum,POR,25,191,353,54.1,118,246,48,169,372,45.4,15,46,32.6,18,48,37.5,115,288,39.9
