PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,4,5,80,1,1,100,-,-,-,1,1,100,-,-,-,0,1,0
Aaron Brooks,IND,32,18,28,64.3,2,2,100,1,4,25,1,1,100,0,1,0,2,3,66.7
Aaron Gordon,ORL,21,61,98,62.2,6,11,54.5,5,12,41.7,1,1,100,2,4,50,5,11,45.5
Aaron Harrison,CHA,22,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adreian Payne,MIN,25,5,7,71.4,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Al Horford,BOS,30,67,113,59.3,2,12,16.7,3,5,60,0,2,0,0,0,0,3,10,30
Al Jefferson,IND,32,23,31,74.2,2,2,100,1,9,11.1,1,1,100,0,1,0,2,8,25
Al-Farouq Aminu,POR,26,35,62,56.5,4,7,57.1,3,4,75,1,1,100,0,1,0,6,12,50
Alan Anderson,LAC,34,10,13,76.9,1,1,100,2,2,100,-,-,-,0,0,0,1,3,33.3
Alan Williams,PHX,24,8,12,66.7,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Alec Burks,UTA,25,2,9,22.2,1,3,33.3,0,0,0,1,1,100,-,-,-,0,1,0
Alex Abrines,OKC,23,16,33,48.5,3,5,60,0,1,0,0,1,0,0,0,0,2,6,33.3
Alex Len,PHX,23,41,65,63.1,0,6,0,1,6,16.7,0,2,0,0,1,0,5,8,62.5
Alexis Ajinca,NOP,28,16,28,57.1,1,2,50,2,2,100,0,0,0,1,1,100,0,2,0
Allen Crabbe,POR,24,50,94,53.2,7,13,53.8,4,7,57.1,0,1,0,1,3,33.3,7,16,43.8
Alonzo Gee,DEN,29,4,4,100,0,0,0,-,-,-,-,-,-,-,-,-,1,1,100
Amir Johnson,BOS,29,49,80,61.3,2,9,22.2,0,2,0,0,2,0,0,0,0,1,3,33.3
Anderson Varejao,GSW,34,3,3,100,1,1,100,0,0,0,-,-,-,-,-,-,1,1,100
Andre Drummond,DET,23,48,92,52.2,1,8,12.5,2,5,40,3,5,60,0,1,0,6,11,54.5
Andre Iguodala,GSW,33,60,110,54.5,7,11,63.6,1,2,50,1,1,100,0,2,0,5,16,31.3
Andre Roberson,OKC,25,60,96,62.5,9,17,52.9,0,2,0,1,2,50,1,2,50,5,15,33.3
Andrew Bogut,DAL,32,20,34,58.8,1,3,33.3,1,1,100,0,0,0,0,0,0,1,3,33.3
Andrew Harrison,MEM,22,43,79,54.4,4,11,36.4,3,5,60,0,0,0,0,1,0,4,10,40
Andrew Nicholson,WAS,27,15,19,78.9,1,1,100,1,1,100,-,-,-,1,1,100,1,4,25
Andrew Wiggins,MIN,21,89,138,64.5,3,6,50,6,10,60,2,5,40,2,4,50,6,19,31.6
Anthony Bennett,BKN,23,17,29,58.6,0,0,0,0,1,0,1,3,33.3,-,-,-,1,4,25
Anthony Brown,ORL,24,9,13,69.2,0,0,0,0,0,0,0,0,0,-,-,-,0,2,0
Anthony Davis,NOP,23,61,106,57.5,4,7,57.1,6,11,54.5,1,3,33.3,1,2,50,2,14,14.3
Anthony Morrow,OKC,31,22,35,62.9,3,5,60,0,0,0,1,2,50,1,2,50,2,6,33.3
Anthony Tolliver,SAC,31,37,58,63.8,1,4,25,0,5,0,1,3,33.3,0,0,0,3,5,60
Archie Goodwin,NOP,22,1,2,50,-,-,-,1,1,100,-,-,-,-,-,-,-,-,-
Arinze Onuaku,ORL,29,3,3,100,0,0,0,-,-,-,0,0,0,-,-,-,0,0,0
Aron Baynes,DET,30,27,39,69.2,2,7,28.6,1,2,50,0,0,0,0,1,0,1,6,16.7
Arron Afflalo,SAC,31,44,74,59.5,1,6,16.7,1,8,12.5,3,3,100,0,0,0,5,12,41.7
Austin Rivers,LAC,24,66,100,66,5,13,38.5,6,9,66.7,2,4,50,1,2,50,8,15,53.3
Avery Bradley,BOS,26,56,100,56,3,12,25,3,5,60,0,2,0,0,0,0,3,12,25
Ben McLemore,SAC,23,18,25,72,0,4,0,2,4,50,1,2,50,0,0,0,1,2,50
Beno Udrih,DET,34,13,18,72.2,0,4,0,3,4,75,0,0,0,0,1,0,1,4,25
Bismack Biyombo,ORL,24,54,83,65.1,4,8,50,3,7,42.9,1,1,100,0,1,0,5,10,50
Blake Griffin,LAC,27,49,73,67.1,2,11,18.2,3,3,100,1,2,50,1,3,33.3,1,7,14.3
Boban Marjanovic,DET,28,2,5,40,0,0,0,2,2,100,-,-,-,-,-,-,1,1,100
Bobby Brown,HOU,32,1,2,50,0,0,0,0,1,0,-,-,-,-,-,-,0,1,0
Bobby Portis,CHI,21,26,41,63.4,1,3,33.3,0,0,0,0,1,0,-,-,-,1,2,50
Bojan Bogdanovic,BKN,27,54,98,55.1,1,8,12.5,1,7,14.3,0,3,0,0,1,0,5,17,29.4
Boris Diaw,UTA,34,24,48,50,1,3,33.3,2,6,33.3,1,2,50,0,1,0,2,6,33.3
Bradley Beal,WAS,23,80,124,64.5,4,9,44.4,0,4,0,1,4,25,1,1,100,6,17,35.3
Brandan Wright,MEM,29,1,1,100,-,-,-,0,1,0,-,-,-,-,-,-,-,-,-
Brandon Bass,LAC,31,25,33,75.8,0,1,0,0,1,0,1,1,100,1,1,100,0,2,0
Brandon Ingram,LAL,19,75,110,68.2,8,14,57.1,5,11,45.5,0,2,0,1,2,50,9,17,52.9
Brandon Jennings,NYK,27,52,98,53.1,4,10,40,3,7,42.9,1,2,50,2,3,66.7,4,12,33.3
Brandon Knight,PHX,25,41,67,61.2,5,9,55.6,2,8,25,0,2,0,0,0,0,6,10,60
Brandon Rush,MIN,31,11,17,64.7,1,2,50,1,3,33.3,0,0,0,-,-,-,0,4,0
Brian Roberts,CHA,31,3,4,75,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Brook Lopez,BKN,28,58,104,55.8,2,6,33.3,4,10,40,0,3,0,0,2,0,2,12,16.7
Bruno Caboclo,TOR,21,1,1,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Bryn Forbes,SAS,23,6,8,75,0,1,0,0,1,0,1,1,100,0,1,0,0,0,0
Buddy Hield,NOP,23,39,63,61.9,2,5,40,2,3,66.7,1,1,100,0,0,0,2,7,28.6
CJ McCollum,POR,25,64,120,53.3,5,11,45.5,7,9,77.8,1,2,50,0,3,0,12,22,54.5
CJ Miles,IND,29,25,37,67.6,1,1,100,2,7,28.6,3,4,75,0,2,0,4,7,57.1
CJ Watson,ORL,32,31,39,79.5,1,3,33.3,1,2,50,1,1,100,3,3,100,1,1,100
CJ Wilcox,ORL,26,5,6,83.3,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Cameron Payne,OKC,22,8,11,72.7,0,1,0,0,0,0,-,-,-,0,1,0,0,1,0
Caris LeVert,BKN,22,23,35,65.7,2,3,66.7,0,3,0,0,3,0,0,0,0,1,2,50
Carmelo Anthony,NYK,32,70,126,55.6,5,11,45.5,5,8,62.5,1,2,50,2,2,100,12,22,54.5
Chandler Parsons,MEM,28,12,22,54.5,0,0,0,0,2,0,-,-,-,0,0,0,2,4,50
Channing Frye,CLE,33,28,43,65.1,2,4,50,2,4,50,1,6,16.7,-,-,-,1,6,16.7
