PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
Gerald Green,BOS,31,9,13,69.2,1,8,12.5,8,13,61.5,0,0,0,0,0,0,5,20,25
Gerald Henderson,PHI,29,17,38,44.7,14,33,42.4,20,40,50,0,4,0,1,7,14.3,10,37,27
Giannis Antetokounmpo,MIL,22,49,91,53.8,15,40,37.5,20,77,26,7,15,46.7,6,21,28.6,34,83,41
Glenn Robinson,IND,23,23,41,56.1,6,21,28.6,12,33,36.4,2,4,50,2,6,33.3,14,39,35.9
Goran Dragic,MIA,30,28,52,53.8,22,41,53.7,35,77,45.5,2,11,18.2,1,4,25,11,36,30.6
Gordon Hayward,UTA,26,24,58,41.4,21,54,38.9,18,64,28.1,2,11,18.2,3,8,37.5,16,46,34.8
Gorgui Dieng,MIN,27,45,69,65.2,18,38,47.4,22,64,34.4,6,15,40,2,5,40,22,72,30.6
Greg Monroe,MIL,26,23,38,60.5,8,22,36.4,14,35,40,4,8,50,4,10,40,21,49,42.9
Greivis Vasquez,BKN,30,1,1,100,0,1,0,0,0,0,-,-,-,1,1,100,1,2,50
Harrison Barnes,DAL,24,41,62,66.1,22,49,44.9,25,74,33.8,7,14,50,8,16,50,19,54,35.2
Hassan Whiteside,MIA,27,21,49,42.9,16,36,44.4,37,80,46.3,2,9,22.2,1,8,12.5,16,49,32.7
Henry Ellenson,DET,20,1,2,50,0,1,0,1,2,50,0,0,0,-,-,-,1,3,33.3
Hollis Thompson,PHI,25,10,20,50,8,18,44.4,12,21,57.1,3,5,60,1,5,20,7,23,30.4
Ian Clark,GSW,25,22,33,66.7,8,26,30.8,5,26,19.2,0,2,0,0,6,0,2,26,7.7
Ian Mahinmi,WAS,30,-,-,-,-,-,-,-,-,-,1,1,100,0,1,0,1,2,50
Iman Shumpert,CLE,26,19,37,51.4,13,32,40.6,23,59,39,1,6,16.7,3,6,50,14,51,27.5
Isaiah Canaan,CHI,25,9,19,47.4,6,14,42.9,4,23,17.4,2,7,28.6,2,4,50,13,29,44.8
Isaiah Thomas,BOS,27,29,53,54.7,16,43,37.2,32,72,44.4,4,6,66.7,1,5,20,21,63,33.3
Isaiah Whitehead,BKN,21,21,36,58.3,5,23,21.7,21,41,51.2,2,4,50,2,5,40,3,26,11.5
Ish Smith,DET,28,19,45,42.2,14,33,42.4,22,52,42.3,2,3,66.7,0,3,0,7,24,29.2
Ivica Zubac,LAL,19,6,8,75,6,11,54.5,2,4,50,1,2,50,1,1,100,7,14,50
J.J. Barea,DAL,32,13,17,76.5,1,9,11.1,4,14,28.6,2,5,40,2,6,33.3,1,14,7.1
JJ Redick,LAC,32,22,43,51.2,22,46,47.8,22,60,36.7,2,3,66.7,3,8,37.5,18,46,39.1
JR Smith,CLE,31,8,19,42.1,2,13,15.4,7,25,28,0,2,0,0,4,0,7,22,31.8
JaMychal Green,MEM,26,30,53,56.6,24,54,44.4,23,63,36.5,5,15,33.3,7,14,50,21,76,27.6
JaVale McGee,GSW,29,12,14,85.7,2,9,22.2,6,14,42.9,0,3,0,1,4,25,2,13,15.4
Jabari Parker,MIL,21,50,89,56.2,15,38,39.5,25,76,32.9,7,15,46.7,8,18,44.4,30,74,40.5
Jae Crowder,BOS,26,21,47,44.7,16,40,40,31,77,40.3,4,9,44.4,1,5,20,20,69,29
Jahlil Okafor,PHI,21,9,19,47.4,12,20,60,9,29,31,1,6,16.7,0,3,0,7,23,30.4
Jake Layman,POR,22,3,5,60,4,9,44.4,1,9,11.1,0,1,0,0,0,0,3,7,42.9
Jakob Poeltl,TOR,21,6,13,46.2,3,12,25,4,8,50,2,3,66.7,0,0,0,2,4,50
Jamal Crawford,LAC,36,34,57,59.6,19,44,43.2,24,59,40.7,1,5,20,2,3,66.7,19,43,44.2
Jamal Murray,DEN,19,26,48,54.2,12,30,40,25,55,45.5,1,3,33.3,4,6,66.7,11,36,30.6
Jameer Nelson,DEN,34,26,55,47.3,17,42,40.5,27,56,48.2,0,4,0,3,8,37.5,14,43,32.6
