PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,3,5,60,0,0,0,1,1,100,0,1,0,-,-,-,0,4,0
Aaron Brooks,IND,32,38,57,66.7,4,11,36.4,13,20,65,3,8,37.5,4,9,44.4,12,35,34.3
Aaron Gordon,ORL,21,106,156,67.9,6,22,27.3,9,19,47.4,6,12,50,7,13,53.8,29,88,33
Aaron Harrison,CHA,22,1,2,50,-,-,-,-,-,-,0,0,0,0,0,0,0,1,0
Adreian Payne,MIN,25,4,8,50,3,4,75,0,0,0,0,0,0,0,0,0,3,9,33.3
Al Horford,BOS,30,87,132,65.9,4,18,22.2,16,27,59.3,8,15,53.3,2,10,20,35,82,42.7
Al Jefferson,IND,32,51,67,76.1,4,9,44.4,16,26,61.5,5,11,45.5,4,11,36.4,13,40,32.5
Al-Farouq Aminu,POR,26,60,101,59.4,4,11,36.4,4,17,23.5,3,7,42.9,2,7,28.6,26,67,38.8
Alan Anderson,LAC,34,16,22,72.7,2,4,50,2,6,33.3,0,1,0,2,2,100,6,17,35.3
Alan Williams,PHX,24,10,19,52.6,0,0,0,0,1,0,0,0,0,0,0,0,3,8,37.5
Alec Burks,UTA,25,8,14,57.1,2,2,100,1,1,100,2,3,66.7,1,2,50,6,9,66.7
Alex Abrines,OKC,23,36,56,64.3,5,9,55.6,4,12,33.3,0,3,0,2,4,50,10,36,27.8
Alex Len,PHX,23,61,100,61,8,21,38.1,10,18,55.6,5,12,41.7,4,6,66.7,24,63,38.1
Alexis Ajinca,NOP,28,20,31,64.5,2,9,22.2,0,4,0,2,2,100,2,2,100,14,32,43.8
Allen Crabbe,POR,24,86,147,58.5,11,22,50,13,32,40.6,6,10,60,2,12,16.7,44,98,44.9
Alonzo Gee,DEN,29,7,11,63.6,1,1,100,1,3,33.3,1,1,100,0,0,0,1,3,33.3
Amir Johnson,BOS,29,66,108,61.1,5,19,26.3,8,20,40,3,8,37.5,2,7,28.6,24,55,43.6
Anderson Varejao,GSW,34,6,12,50,1,1,100,0,2,0,0,1,0,1,1,100,1,5,20
Andre Drummond,DET,23,74,116,63.8,6,20,30,12,32,37.5,0,7,0,5,10,50,42,79,53.2
Andre Iguodala,GSW,33,90,145,62.1,10,22,45.5,6,14,42.9,4,5,80,3,6,50,30,83,36.1
Andre Roberson,OKC,25,98,163,60.1,5,21,23.8,11,33,33.3,3,9,33.3,2,7,28.6,26,87,29.9
Andrew Bogut,DAL,32,34,56,60.7,4,9,44.4,8,23,34.8,2,3,66.7,2,6,33.3,19,34,55.9
Andrew Harrison,MEM,22,60,107,56.1,13,24,54.2,12,20,60,1,5,20,3,7,42.9,23,73,31.5
Andrew Nicholson,WAS,27,24,30,80,1,3,33.3,4,6,66.7,2,3,66.7,0,0,0,6,14,42.9
Andrew Wiggins,MIN,21,150,209,71.8,23,39,59,15,41,36.6,8,17,47.1,8,16,50,44,117,37.6
Anthony Bennett,BKN,23,20,32,62.5,2,4,50,4,7,57.1,1,2,50,0,2,0,8,17,47.1
Anthony Brown,ORL,24,15,17,88.2,1,2,50,1,6,16.7,0,1,0,-,-,-,0,7,0
Anthony Davis,NOP,23,104,145,71.7,10,28,35.7,14,33,42.4,5,16,31.3,6,10,60,38,94,40.4
Anthony Morrow,OKC,31,36,53,67.9,2,3,66.7,5,12,41.7,1,2,50,0,2,0,11,25,44
Anthony Tolliver,SAC,31,61,87,70.1,4,8,50,10,16,62.5,2,8,25,9,13,69.2,21,55,38.2
Archie Goodwin,NOP,22,4,4,100,0,0,0,0,0,0,-,-,-,0,0,0,2,3,66.7
Arinze Onuaku,ORL,29,2,2,100,0,0,0,1,1,100,0,0,0,-,-,-,0,1,0
Aron Baynes,DET,30,41,55,74.5,4,12,33.3,10,17,58.8,2,4,50,2,6,33.3,14,49,28.6
Arron Afflalo,SAC,31,103,137,75.2,8,15,53.3,11,18,61.1,8,13,61.5,6,11,54.5,22,67,32.8
Austin Rivers,LAC,24,98,142,69,12,26,46.2,20,39,51.3,7,15,46.7,1,7,14.3,23,80,28.8
Avery Bradley,BOS,26,94,139,67.6,9,25,36,10,21,47.6,9,17,52.9,2,8,25,32,75,42.7
Ben McLemore,SAC,23,25,44,56.8,3,5,60,4,10,40,2,5,40,3,7,42.9,13,27,48.1
Beno Udrih,DET,34,19,29,65.5,3,9,33.3,4,9,44.4,0,1,0,4,5,80,9,29,31
Bismack Biyombo,ORL,24,78,127,61.4,7,26,26.9,13,25,52,4,8,50,6,10,60,26,79,32.9
Blake Griffin,LAC,27,67,96,69.8,12,22,54.5,13,31,41.9,4,8,50,3,8,37.5,24,63,38.1
