PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Serge Ibaka,OKC,22,634,1166,54.4,158,486,32.5,328,913,35.9,36,105,34.3,38,102,37.3,164,463,35.4
Shelden Williams,NJN,28,466,742,62.8,115,295,39,258,654,39.4,22,63,34.9,24,59,40.7,137,327,41.9
Solomon Alabi,TOR,24,38,72,52.8,8,18,44.4,26,72,36.1,1,6,16.7,1,11,9.1,11,36,30.6
Spencer Hawes,PHI,24,259,452,57.3,90,262,34.4,231,561,41.2,12,31,38.7,9,27,33.3,79,218,36.2
Tiago Splitter,SAS,27,316,525,60.2,144,325,44.3,278,663,41.9,18,60,30,17,48,35.4,103,311,33.1
Timofey Mozgov,DEN,25,234,383,61.1,43,144,29.9,180,396,45.5,24,53,45.3,29,58,50,81,199,40.7
Tony Battie,PHI,36,72,126,57.1,28,89,31.5,60,169,35.5,8,17,47.1,4,9,44.4,20,62,32.3
Tristan Thompson,CLE,21,510,824,61.9,154,355,43.4,286,700,40.9,30,79,38,30,80,37.5,144,418,34.4
Troy Murphy,LAL,32,299,509,58.7,90,266,33.8,211,505,41.8,20,63,31.7,13,38,34.2,79,249,31.7
Tyler Hansbrough,IND,26,430,708,60.7,133,328,40.5,260,710,36.6,35,77,45.5,24,71,33.8,139,411,33.8
Tyson Chandler,NYK,29,636,1103,57.7,186,500,37.2,417,1057,39.5,46,94,48.9,43,112,38.4,189,572,33
Zaza Pachulia,ATL,28,549,910,60.3,146,385,37.9,346,875,39.5,16,63,25.4,25,73,34.2,137,400,34.3
