PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
AJ Hammons,DAL,24,26,42,61.9,7,13,53.8,7,23,30.4,2,8,25,2,6,33.3,9,34,26.5
Al Horford,BOS,30,318,539,59,117,271,43.2,159,403,39.5,28,62,45.2,17,51,33.3,161,434,37.1
Al Jefferson,IND,32,174,269,64.7,55,110,50,95,260,36.5,20,34,58.8,15,43,34.9,84,271,31
Alan Williams,PHX,23,45,75,60,5,19,26.3,16,46,34.8,0,0,0,2,3,66.7,13,42,31
Alex Len,PHX,23,277,472,58.7,88,211,41.7,145,345,42,24,55,43.6,16,34,47.1,122,331,36.9
Alexis Ajinca,NOP,28,113,189,59.8,30,76,39.5,43,115,37.4,7,15,46.7,13,26,50,55,147,37.4
Anderson Varejao,GSW,34,24,32,75,8,20,40,16,29,55.2,2,9,22.2,4,6,66.7,9,28,32.1
Andre Drummond,DET,23,385,621,62,153,360,42.5,247,569,43.4,31,72,43.1,28,75,37.3,196,478,41
Andrew Bogut,DAL,32,127,216,58.8,46,122,37.7,85,247,34.4,11,27,40.7,15,31,48.4,71,182,39
Anthony Davis,NOP,23,484,808,59.9,126,346,36.4,217,589,36.8,36,99,36.4,35,87,40.2,223,682,32.7
Arinze Onuaku,ORL,29,12,15,80,1,2,50,6,12,50,0,2,0,-,-,-,5,15,33.3
Aron Baynes,DET,30,168,276,60.9,70,175,40,93,243,38.3,16,40,40,10,31,32.3,76,229,33.2
Bismack Biyombo,ORL,24,360,620,58.1,128,271,47.2,165,417,39.6,25,61,41,28,50,56,135,416,32.5
Boban Marjanovic,DET,28,31,50,62,14,44,31.8,28,72,38.9,2,5,40,2,8,25,23,59,39
Boris Diaw,UTA,34,187,349,53.6,69,177,39,76,241,31.5,9,29,31,13,35,37.1,86,211,40.8
Brook Lopez,BKN,28,390,655,59.5,107,270,39.6,217,500,43.4,29,86,33.7,30,70,42.9,160,454,35.2
Chinanu Onuaku,HOU,20,6,6,100,0,0,0,3,6,50,0,0,0,0,1,0,2,5,40
Chris Andersen,CLE,38,37,63,58.7,4,22,18.2,15,45,33.3,4,5,80,1,6,16.7,23,66,34.8
Clint Capela,HOU,22,264,396,66.7,86,220,39.1,100,270,37,23,55,41.8,20,46,43.5,95,264,36
Cody Zeller,CHA,24,270,476,56.7,76,167,45.5,147,359,40.9,22,58,37.9,23,68,33.8,145,424,34.2
Cole Aldrich,MIN,28,146,226,64.6,42,80,52.5,49,125,39.2,11,28,39.3,12,29,41.4,63,177,35.6
Cristiano Felicio,CHI,24,189,304,62.2,39,106,36.8,77,179,43,12,45,26.7,13,28,46.4,54,194,27.8
