PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Damian Jones,GSW,21,2,3,66.7,1,2,50,2,2,100,1,1,100,-,-,-,2,6,33.3
David Lee,SAS,33,221,366,60.4,57,159,35.8,123,289,42.6,16,43,37.2,20,54,37,80,246,32.5
DeAndre Jordan,LAC,28,412,673,61.2,157,371,42.3,241,647,37.2,36,85,42.4,25,76,32.9,184,541,34
DeMarcus Cousins,SAC,26,387,615,62.9,128,289,44.3,227,522,43.5,47,104,45.2,37,89,41.6,212,581,36.5
Derrick Favors,UTA,25,181,318,56.9,68,188,36.2,116,265,43.8,13,34,38.2,5,20,25,87,226,38.5
Dewayne Dedmon,SAS,27,150,258,58.1,34,123,27.6,84,223,37.7,9,33,27.3,15,36,41.7,65,211,30.8
Diamond Stone,LAC,19,8,10,80,0,1,0,1,5,20,0,1,0,1,1,100,2,8,25
Donatas Motiejunas,NOP,26,20,35,57.1,7,17,41.2,12,21,57.1,2,4,50,2,3,66.7,14,40,35
Dwight Howard,ATL,31,270,480,56.3,123,291,42.3,217,497,43.7,29,64,45.3,30,72,41.7,156,456,34.2
Dwight Powell,DAL,25,277,403,68.7,65,146,44.5,111,285,38.9,29,61,47.5,20,44,45.5,126,313,40.3
Edy Tavares,ATL,24,1,3,33.3,0,1,0,0,3,0,0,0,0,-,-,-,-,-,-
Enes Kanter,OKC,24,343,574,59.8,93,242,38.4,122,313,39,20,66,30.3,16,41,39,119,328,36.3
Frank Kaminsky,CHA,23,328,542,60.5,73,195,37.4,165,385,42.9,32,83,38.6,25,66,37.9,153,447,34.2
Georgios Papagiannis,SAC,19,3,3,100,0,1,0,2,3,66.7,0,2,0,0,0,0,2,6,33.3
Gorgui Dieng,MIN,26,484,765,63.3,127,305,41.6,188,477,39.4,28,81,34.6,33,75,44,187,535,35
Greg Monroe,MIL,26,287,450,63.8,53,141,37.6,95,270,35.2,38,89,42.7,26,70,37.1,121,351,34.5
Hassan Whiteside,MIA,27,387,682,56.7,168,376,44.7,236,568,41.5,29,81,35.8,23,77,29.9,165,445,37.1
Ian Mahinmi,WAS,30,5,5,100,1,2,50,3,5,60,1,1,100,0,2,0,2,6,33.3
Ivica Zubac,LAL,19,35,51,68.6,10,26,38.5,11,18,61.1,1,4,25,5,9,55.6,10,29,34.5
JaVale McGee,GSW,28,89,162,54.9,23,70,32.9,59,147,40.1,8,20,40,6,10,60,52,154,33.8
Jahlil Okafor,PHI,21,234,370,63.2,77,191,40.3,117,285,41.1,21,50,42,16,40,40,92,236,39
Jakob Poeltl,TOR,21,74,121,61.2,21,53,39.6,21,61,34.4,5,14,35.7,7,16,43.8,33,80,41.3
Jarnell Stokes,DEN,23,2,2,100,1,4,25,1,1,100,-,-,-,-,-,-,1,4,25
Jason Smith,WAS,30,143,219,65.3,36,92,39.1,63,154,40.9,14,25,56,11,30,36.7,73,187,39
Jeff Withey,UTA,26,93,162,57.4,21,58,36.2,29,74,39.2,6,13,46.2,5,5,100,27,92,29.3
Joakim Noah,NYK,31,292,500,58.4,90,215,41.9,127,332,38.3,22,52,42.3,25,53,47.2,136,375,36.3
Joel Embiid,PHI,22,208,354,58.8,58,171,33.9,113,279,40.5,18,44,40.9,14,38,36.8,98,301,32.6
Joffrey Lauvergne,OKC,25,201,314,64,57,141,40.4,60,158,38,13,46,28.3,11,30,36.7,59,170,34.7
John Henson,MIL,26,262,436,60.1,62,153,40.5,104,277,37.5,29,59,49.2,29,75,38.7,88,273,32.2
Jonas Valanciunas,TOR,24,356,553,64.4,101,230,43.9,152,392,38.8,30,62,48.4,28,75,37.3,150,407,36.9
Jordan Hill,MIN,29,14,24,58.3,2,4,50,3,8,37.5,0,4,0,1,1,100,5,17,29.4
Justin Hamilton,BKN,26,261,425,61.4,73,189,38.6,138,305,45.2,19,43,44.2,9,39,23.1,106,294,36.1
Jusuf Nurkic,DEN,22,243,391,62.1,80,184,43.5,118,326,36.2,20,45,44.4,12,30,40,103,261,39.5
Karl-Anthony Towns,MIN,21,525,829,63.3,132,307,43,204,504,40.5,35,95,36.8,42,93,45.2,218,599,36.4
Kelly Olynyk,BOS,25,219,361,60.7,87,208,41.8,120,295,40.7,18,44,40.9,21,42,50,91,290,31.4
Kevin Seraphin,IND,27,69,114,60.5,22,61,36.1,46,97,47.4,9,23,39.1,9,20,45,47,113,41.6
Kosta Koufos,SAC,27,199,326,61,86,198,43.4,123,315,39,25,56,44.6,24,53,45.3,123,328,37.5
Kyle O'Quinn,NYK,26,222,385,57.7,55,141,39,90,234,38.5,18,40,45,15,35,42.9,74,224,33
Lavoy Allen,IND,27,120,180,66.7,32,67,47.8,58,150,38.7,12,27,44.4,12,24,50,60,151,39.7
Lucas Nogueira,TOR,24,225,390,57.7,52,162,32.1,89,219,40.6,13,41,31.7,15,45,33.3,112,321,34.9
Marc Gasol,MEM,31,394,664,59.3,116,283,41,183,447,40.9,35,80,43.8,32,86,37.2,200,590,33.9
Marcin Gortat,WAS,32,444,731,60.7,151,353,42.8,240,578,41.5,37,86,43,31,91,34.1,212,580,36.6
Marreese Speights,LAC,29,229,363,63.1,75,186,40.3,106,297,35.7,14,41,34.1,16,37,43.2,76,235,32.3
Marshall Plumlee,NYK,24,9,16,56.3,6,8,75,6,11,54.5,0,0,0,0,2,0,1,10,10
Mason Plumlee,POR,26,379,661,57.3,155,331,46.8,212,486,43.6,29,80,36.3,24,67,35.8,188,458,41
Meyers Leonard,POR,24,165,309,53.4,90,171,52.6,99,244,40.6,9,24,37.5,10,25,40,87,228,38.2
Mike Muscala,ATL,25,263,436,60.3,100,237,42.2,142,319,44.5,27,62,43.5,23,60,38.3,134,367,36.5
Miles Plumlee,MIL,28,73,132,55.3,26,66,39.4,35,95,36.8,7,15,46.7,7,22,31.8,24,86,27.9
Myles Turner,IND,20,383,664,57.7,113,249,45.4,198,469,42.2,35,87,40.2,36,118,30.5,159,493,32.3
Nene,HOU,34,209,329,63.5,74,173,42.8,83,237,35,15,44,34.1,12,39,30.8,95,267,35.6
Nerlens Noel,PHI,22,60,101,59.4,16,50,32,36,81,44.4,11,19,57.9,8,13,61.5,27,75,36
Nikola Jokic,DEN,21,282,444,63.5,125,226,55.3,169,422,40,23,53,43.4,19,39,48.7,109,337,32.3
Nikola Vucevic,ORL,26,395,648,61,97,252,38.5,187,476,39.3,22,68,32.4,22,62,35.5,161,453,35.5
Omer Asik,NOP,30,161,252,63.9,49,136,36,88,210,41.9,12,31,38.7,13,34,38.2,73,208,35.1
Pau Gasol,SAS,36,334,594,56.2,102,241,42.3,196,442,44.3,20,62,32.3,22,63,34.9,133,343,38.8
Robin Lopez,CHI,28,390,701,55.6,129,313,41.2,227,539,42.1,31,75,41.3,21,51,41.2,152,377,40.3
Roy Hibbert,CHA,30,149,291,51.2,63,148,42.6,121,265,45.7,18,37,48.6,12,28,42.9,94,262,35.9
Rudy Gobert,UTA,24,421,773,54.5,145,414,35,209,562,37.2,22,68,32.4,24,59,40.7,185,524,35.3
Salah Mejri,DAL,30,117,186,62.9,37,107,34.6,65,160,40.6,8,30,26.7,11,25,44,71,173,41
Skal Labissiere,SAC,20,8,11,72.7,2,8,25,4,7,57.1,2,6,33.3,0,1,0,8,16,50
Spencer Hawes,CHA,28,163,280,58.2,50,113,44.2,73,178,41,13,42,31,14,40,35,92,232,39.7
Stephen Zimmerman,ORL,20,9,12,75,5,10,50,6,13,46.2,2,3,66.7,2,2,100,3,15,20
Steven Adams,OKC,23,449,789,56.9,129,309,41.7,176,463,38,39,89,43.8,27,62,43.5,162,477,34
Tarik Black,LAL,25,167,253,66,42,118,35.6,84,225,37.3,11,35,31.4,15,30,50,74,217,34.1
Thon Maker,MIL,19,23,34,67.6,9,16,56.3,11,30,36.7,3,4,75,0,3,0,10,29,34.5
Timofey Mozgov,LAL,30,331,490,67.6,114,247,46.2,161,370,43.5,24,55,43.6,28,69,40.6,144,410,35.1
Tristan Thompson,CLE,25,411,679,60.5,120,313,38.3,200,462,43.3,35,97,36.1,21,69,30.4,158,467,33.8
Tyler Zeller,BOS,26,114,194,58.8,40,95,42.1,49,133,36.8,11,28,39.3,5,18,27.8,38,121,31.4
Tyson Chandler,PHX,34,294,457,64.3,84,199,42.2,174,416,41.8,26,60,43.3,25,55,45.5,132,351,37.6
Willie Cauley-Stein,SAC,23,112,178,62.9,31,82,37.8,52,130,40,4,23,17.4,16,29,55.2,64,158,40.5
Willie Reed,MIA,26,139,265,52.5,64,136,47.1,54,163,33.1,15,29,51.7,12,25,48,55,161,34.2
Willy Hernangomez,NYK,22,165,296,55.7,49,107,45.8,56,140,40,10,29,34.5,10,30,33.3,53,187,28.3
Zaza Pachulia,GSW,32,213,348,61.2,87,221,39.4,122,270,45.2,9,39,23.1,18,51,35.3,100,304,32.9
