PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Eric Gordon,HOU,29,50,50,41.20%,104,285,36.5,54.2,0.70%,3,5,60,40.50%,101,280,36.1
Eric Moreland,DET,26,44,1,1.90%,0,1,0,0,1.90%,0,1,0,0.00%,0,0,-
Ersan Ilyasova,ATL,30,45,44,50.40%,77,185,41.6,56.2,13.10%,23,48,47.9,37.30%,54,137,39.4
Evan Fournier,ORL,25,47,47,36.40%,99,226,43.8,61.9,5.50%,17,34,50,30.90%,82,192,42.7
Evan Turner,POR,29,54,45,23.70%,31,92,33.7,46.7,3.40%,7,13,53.8,20.40%,24,79,30.4
Frank Kaminsky,CHA,24,53,52,42.40%,70,197,35.5,51.3,3.20%,8,15,53.3,39.10%,62,182,34.1
Frank Mason,SAC,23,29,17,11.70%,6,22,27.3,40.9,1.10%,0,2,0,10.60%,6,20,30
Frank Ntilikina,NYK,19,53,37,24.10%,23,73,31.5,45.9,6.60%,2,20,10,17.50%,21,53,39.6
Fred VanVleet,TOR,23,52,45,36.00%,46,113,40.7,61.1,1.00%,0,3,0,35.00%,46,110,41.8
Furkan Korkmaz,PHI,20,6,3,66.70%,1,8,12.5,18.8,8.30%,0,1,0,58.30%,1,7,14.3
Garrett Temple,SAC,31,51,48,42.00%,60,154,39,55.5,7.60%,9,28,32.1,34.30%,51,126,40.5
Gary Harris,DEN,23,52,51,36.70%,101,243,41.6,61.5,1.20%,4,8,50,35.40%,97,235,41.3
Gary Payton II,LAL,25,15,11,33.30%,2,13,15.4,23.1,0.00%,0,0,-,33.30%,2,13,15.4
George Hill,CLE,31,44,37,30.20%,45,98,45.9,67.3,2.50%,3,8,37.5,27.70%,42,90,46.7
Georgios Papagiannis,SAC,20,16,6,28.20%,5,11,45.5,45.5,28.20%,5,11,45.5,0.00%,0,0,-
Gerald Green,HOU,32,19,19,55.70%,44,112,39.3,57.6,2.50%,3,5,60,53.20%,41,107,38.3
Gian Clavell,DAL,24,7,5,66.70%,6,12,50,75,0.00%,0,0,-,66.70%,6,12,50
Giannis Antetokounmpo,MIL,23,50,33,6.70%,21,60,35,49.2,1.40%,4,13,30.8,5.20%,17,47,36.2
Goran Dragic,MIA,31,50,49,22.20%,61,153,39.9,57.5,2.00%,7,14,50,20.20%,54,139,38.8
Gordon Hayward,BOS,27,1,1,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
Gorgui Dieng,MIN,28,56,54,52.00%,64,141,45.4,49.6,36.90%,52,100,52,15.10%,12,41,29.3
Greg Monroe,BOS,27,27,3,1.70%,1,3,33.3,33.3,1.70%,1,3,33.3,0.00%,0,0,-
Guerschon Yabusele,BOS,22,21,16,73.30%,9,22,40.9,59.1,3.30%,1,1,100,70.00%,8,21,38.1
Harrison Barnes,DAL,25,55,54,27.00%,81,217,37.3,50.9,5.40%,22,43,51.2,21.70%,59,174,33.9
Hassan Whiteside,MIA,28,37,27,15.50%,27,57,47.4,49.1,15.00%,25,55,45.5,0.50%,2,2,100
Henry Ellenson,DET,21,21,12,46.90%,10,30,33.3,48.3,7.80%,1,5,20,39.10%,9,25,36
Ian Clark,NOP,26,49,40,36.50%,29,93,31.2,45.7,0.80%,2,2,100,35.70%,27,91,29.7
Ian Mahinmi,WAS,31,54,5,3.80%,1,5,20,20,3.00%,1,4,25,0.80%,0,1,0
Ike Anigbogu,IND,19,10,3,71.40%,3,5,60,60,71.40%,3,5,60,0.00%,0,0,-
Iman Shumpert,SAC,27,14,10,32.70%,3,18,16.7,25,3.60%,0,2,0,29.10%,3,16,18.8
Isaiah Canaan,PHX,26,20,15,22.40%,11,28,39.3,58.9,0.00%,0,0,-,22.40%,11,28,39.3
Isaiah Taylor,ATL,23,42,23,23.30%,13,37,35.1,48.6,3.10%,3,5,60,20.10%,10,32,31.3
Isaiah Thomas,LAL,29,16,15,25.80%,14,47,29.8,44.7,1.10%,0,2,0,24.70%,14,45,31.1
Isaiah Whitehead,BKN,22,13,6,10.10%,2,7,28.6,42.9,0.00%,0,0,-,10.10%,2,7,28.6
Ish Smith,DET,29,55,24,5.50%,9,28,32.1,41.1,1.40%,4,7,57.1,4.10%,5,21,23.8
Ivan Rabb,MEM,21,16,8,21.20%,7,11,63.6,63.6,21.20%,7,11,63.6,0.00%,0,0,-
Ivica Zubac,LAL,20,16,1,5.90%,0,1,0,0,5.90%,0,1,0,0.00%,0,0,-
J.J. Barea,DAL,33,52,42,19.40%,46,95,48.4,71.6,0.80%,2,4,50,18.60%,44,91,48.4
JJ Redick,PHI,33,41,41,43.20%,93,216,43.1,60.2,8.80%,19,44,43.2,34.40%,74,172,43
JR Smith,CLE,32,54,52,56.20%,88,226,38.9,58.4,0.50%,0,2,0,55.70%,88,224,39.3
JaKarr Sampson,SAC,24,11,7,24.20%,4,8,50,68.8,9.10%,1,3,33.3,15.20%,3,5,60
JaMychal Green,MEM,27,35,33,42.40%,43,115,37.4,48.7,14.80%,17,40,42.5,27.70%,26,75,34.7
JaVale McGee,GSW,30,40,10,12.50%,5,13,38.5,38.5,8.70%,5,9,55.6,3.80%,0,4,0
Jabari Bird,BOS,23,4,2,75.00%,0,3,0,0,25.00%,0,1,0,50.00%,0,2,0
Jabari Parker,MIL,22,4,3,24.00%,3,6,50,58.3,8.00%,2,2,100,16.00%,1,4,25
Jack Cooley,SAC,26,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Jacob Pullen,PHI,28,3,1,50.00%,0,1,0,0,0.00%,0,0,-,50.00%,0,1,0
Jacob Wiley,BKN,23,4,2,50.00%,1,2,50,75,0.00%,0,0,-,50.00%,1,2,50
Jae Crowder,UTA,27,54,53,55.60%,75,204,36.8,51.7,9.30%,14,34,41.2,46.30%,61,170,35.9
Jahlil Okafor,BKN,22,23,3,4.90%,2,5,40,40,2.90%,2,3,66.7,2.00%,0,2,0
Jake Layman,POR,23,26,13,54.80%,4,23,17.4,26.1,11.90%,0,5,0,42.90%,4,18,22.2
Jakob Poeltl,TOR,22,55,13,5.70%,2,13,15.4,19.2,5.20%,1,12,8.3,0.40%,1,1,100
Jalen Jones,DAL,24,8,3,30.80%,2,4,50,75,0.00%,0,0,-,30.80%,2,4,50
Jamal Crawford,MIN,37,57,50,26.40%,49,127,38.6,54.3,3.10%,9,15,60,23.30%,40,112,35.7
Jamal Murray,DEN,20,55,55,27.00%,78,183,42.6,61.7,1.80%,8,12,66.7,25.30%,70,171,40.9
Jameer Nelson,DET,36,44,36,35.40%,27,73,37,54.1,3.40%,2,7,28.6,32.00%,25,66,37.9
Jamel Artis,ORL,25,5,3,37.50%,0,6,0,0,12.50%,0,2,0,25.00%,0,4,0
James Ennis III,DET,27,46,39,35.90%,31,78,39.7,57.7,1.80%,3,4,75,34.10%,28,74,37.8
James Harden,HOU,28,48,41,9.90%,36,92,39.1,58.7,0.30%,0,3,0,9.50%,36,89,40.4
James Johnson,MIA,30,47,44,29.70%,35,109,32.1,47.7,2.70%,1,10,10,27.00%,34,99,34.3
James Michael McAdoo,PHI,25,3,3,100%,2,7,28.6,42.9,0.00%,0,0,-,100%,2,7,28.6
James Webb III,BKN,24,8,8,85.00%,4,17,23.5,35.3,5.00%,0,1,0,80.00%,4,16,25
James Young,PHI,22,5,4,83.30%,3,10,30,45,0.00%,0,0,-,83.30%,3,10,30
Jamil Wilson,LAC,27,15,13,78.50%,27,62,43.5,64.5,1.30%,1,1,100,77.20%,26,61,42.6
Jared Dudley,PHX,32,30,23,71.60%,18,53,34,50,5.40%,1,4,25,66.20%,17,49,34.7
Jarell Eddie,BOS,26,2,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Jarell Martin,MEM,23,52,45,36.90%,33,100,33,41,18.10%,17,49,34.7,18.80%,16,51,31.4
Jarrett Allen,BKN,19,46,20,12.90%,12,28,42.9,48.2,8.80%,9,19,47.4,4.10%,3,9,33.3
Jarrett Jack,NYK,34,54,35,13.00%,16,50,32,43,1.80%,5,7,71.4,11.20%,11,43,25.6
Jason Smith,WAS,31,23,17,65.00%,14,52,26.9,27.9,38.80%,13,31,41.9,26.30%,1,21,4.8
Jason Terry,MIL,40,24,16,66.00%,14,33,42.4,60.6,4.00%,2,2,100,62.00%,12,31,38.7
Jawun Evans,LAC,21,38,26,20.70%,10,44,22.7,30.7,2.30%,3,5,60,18.30%,7,39,17.9
Jaylen Brown,BOS,21,50,50,40.60%,77,212,36.3,53.3,2.10%,5,11,45.5,38.50%,72,201,35.8
Jayson Tatum,BOS,19,55,53,28.30%,68,143,47.6,69.6,2.40%,5,12,41.7,25.90%,63,131,48.1
Jeff Green,CLE,31,55,42,23.60%,32,92,34.8,50.5,3.30%,3,13,23.1,20.30%,29,79,36.7
Jeff Teague,MIN,29,48,30,12.00%,23,58,39.7,56.9,0.60%,3,3,100,11.40%,20,55,36.4
Jeff Withey,DAL,27,9,8,66.70%,2,10,20,30,0.00%,0,0,-,66.70%,2,10,20
Jerami Grant,OKC,23,55,43,28.60%,21,78,26.9,37.8,3.30%,4,9,44.4,25.30%,17,69,24.6
Jeremy Lamb,CHA,25,55,51,25.60%,56,148,37.8,52.4,5.00%,13,29,44.8,20.60%,43,119,36.1
Jerian Grant,CHI,25,55,35,19.10%,24,68,35.3,51.5,1.10%,2,4,50,18.00%,22,64,34.4
Jerryd Bayless,PHI,29,38,35,55.80%,48,135,35.6,53.3,2.90%,0,7,0,52.90%,48,128,37.5
Jimmy Butler,MIN,28,53,50,17.00%,51,135,37.8,53,4.70%,10,37,27,12.40%,41,98,41.8
Jodie Meeks,WAS,30,53,47,47.50%,44,124,35.5,50.4,4.20%,7,11,63.6,43.30%,37,113,32.7
Joe Harris,BKN,26,54,54,55.10%,86,218,39.4,58.7,1.80%,2,7,28.6,53.30%,84,211,39.8
Joe Ingles,UTA,30,56,56,54.50%,110,240,45.8,68.5,0.50%,1,2,50,54.10%,109,238,45.8
Joe Johnson,UTA,36,32,31,36.00%,22,81,27.2,40.1,1.80%,1,4,25,34.20%,21,77,27.3
Joe Young,IND,25,40,24,33.60%,16,41,39,56.1,2.50%,2,3,66.7,31.10%,14,38,36.8
Joel Bolomboy,MIL,24,6,1,20.00%,0,1,0,0,0.00%,0,0,-,20.00%,0,1,0
Joel Embiid,PHI,23,42,41,22.10%,49,148,33.1,45.9,3.90%,11,26,42.3,18.20%,38,122,31.1
Joffrey Lauvergne,SAS,26,36,10,12.50%,4,13,30.8,30.8,8.70%,4,9,44.4,3.80%,0,4,0
John Collins,ATL,20,50,29,14.20%,16,46,34.8,41.3,9.90%,10,32,31.3,4.30%,6,14,42.9
John Henson,MIL,27,51,27,11.40%,14,36,38.9,38.9,10.80%,14,34,41.2,0.60%,0,2,0
John Holland,CLE,29,6,3,66.70%,2,6,33.3,50,0.00%,0,0,-,66.70%,2,6,33.3
John Wall,WAS,27,37,35,13.20%,31,74,41.9,61.5,0.90%,2,5,40,12.30%,29,69,42
Johnny O'Bryant III,CHA,24,36,33,36.00%,21,59,35.6,46.6,12.20%,8,20,40,23.80%,13,39,33.3
Jon Leuer,DET,28,8,7,39.40%,2,13,15.4,15.4,30.30%,2,10,20,9.10%,0,3,0
Jonas Jerebko,UTA,30,48,37,47.90%,45,103,43.7,64.1,6.00%,3,13,23.1,41.90%,42,90,46.7
Jonas Valanciunas,TOR,25,51,35,17.90%,32,72,44.4,56.3,9.20%,15,37,40.5,8.70%,17,35,48.6
Jonathan Isaac,ORL,20,15,12,28.20%,7,20,35,47.5,5.60%,2,4,50,22.50%,5,16,31.3
Jonathon Simmons,ORL,28,54,50,22.70%,49,128,38.3,55.1,1.80%,6,10,60,20.90%,43,118,36.4
Jordan Bell,GSW,23,38,7,6.60%,5,8,62.5,62.5,4.90%,5,6,83.3,1.60%,0,2,0
Jordan Clarkson,CLE,25,54,51,24.00%,57,154,37,53.2,3.40%,7,22,31.8,20.60%,50,132,37.9
Jordan Crawford,NOP,29,2,2,23.10%,2,3,66.7,100,0.00%,0,0,-,23.10%,2,3,66.7
Jordan Mickey,MIA,23,17,10,24.60%,2,15,13.3,16.7,8.20%,1,5,20,16.40%,1,10,10
Jose Calderon,CLE,36,39,23,42.50%,23,45,51.1,75.6,0.90%,1,1,100,41.50%,22,44,50
Josh Gray,PHX,24,4,3,22.20%,3,6,50,75,0.00%,0,0,-,22.20%,3,6,50
Josh Hart,LAL,22,50,45,55.60%,50,125,40,59.6,1.80%,1,4,25,53.80%,49,121,40.5
Josh Huestis,OKC,26,50,46,69.30%,25,88,28.4,41.5,3.10%,2,4,50,66.10%,23,84,27.4
Josh Jackson,PHX,21,55,52,26.00%,40,138,29,42.4,1.70%,3,9,33.3,24.30%,37,129,28.7
Josh Magette,ATL,28,9,2,21.40%,2,3,66.7,100,0.00%,0,0,-,21.40%,2,3,66.7
Josh McRoberts,DAL,30,2,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
