PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Torrey Craig,DEN,27,26,7,10.00%,1,8,12.5,12.5,2.50%,1,2,50,7.50%,0,6,0
Treveon Graham,CHA,24,43,22,18.90%,12,30,40,41.7,17.00%,11,27,40.7,1.90%,1,3,33.3
Trevor Ariza,HOU,32,44,31,13.10%,15,54,27.8,40.7,0.50%,1,2,50,12.60%,14,52,26.9
Trevor Booker,PHI,30,45,15,9.40%,5,21,23.8,26.2,7.60%,4,17,23.5,1.80%,1,4,25
Trey Burke,NYK,25,12,12,68.10%,27,49,55.1,57.1,58.30%,25,42,59.5,9.70%,2,7,28.6
Trey Lyles,DEN,22,51,34,16.20%,24,64,37.5,41.4,10.20%,19,40,47.5,6.10%,5,24,20.8
Tristan Thompson,CLE,26,35,3,2.10%,0,3,0,0,2.10%,0,3,0,0.00%,0,0,-
Troy Daniels,PHX,26,57,48,26.90%,42,101,41.6,56.9,6.90%,11,26,42.3,20.00%,31,75,41.3
Troy Williams,HOU,23,4,2,55.60%,1,5,20,20,22.20%,1,2,50,33.30%,0,3,0
Tyler Cavanaugh,ATL,24,29,3,2.80%,1,3,33.3,33.3,1.90%,1,2,50,0.90%,0,1,0
Tyler Dorsey,ATL,21,31,21,32.30%,13,41,31.7,41.5,14.20%,5,18,27.8,18.10%,8,23,34.8
Tyler Ennis,LAL,23,33,16,24.00%,4,24,16.7,18.8,14.00%,3,14,21.4,10.00%,1,10,10
Tyler Johnson,MIA,25,47,37,19.20%,32,84,38.1,41.7,15.60%,26,68,38.2,3.70%,6,16,37.5
Tyler Ulis,PHX,22,55,53,63.20%,88,225,39.1,41.8,48.90%,76,174,43.7,14.30%,12,51,23.5
Tyler Zeller,MIL,28,43,2,1.00%,0,2,0,0,0.50%,0,1,0,0.50%,0,1,0
Tyreke Evans,MEM,28,47,45,32.70%,89,219,40.6,54.1,10.90%,30,73,41.1,21.80%,59,146,40.4
Tyrone Wallace,LAC,23,17,9,14.20%,2,16,12.5,12.5,13.30%,2,15,13.3,0.90%,0,1,0
Tyus Jones,MIN,21,59,37,28.80%,26,63,41.3,43.7,21.00%,23,46,50,7.80%,3,17,17.6
Victor Oladipo,IND,25,51,51,45.90%,169,398,42.5,49.6,27.80%,112,241,46.5,18.10%,57,157,36.3
Vince Carter,SAC,41,36,25,21.80%,11,36,30.6,33.3,13.90%,9,23,39.1,7.90%,2,13,15.4
Wayne Ellington,MIA,30,54,46,24.60%,44,118,37.3,51.3,5.40%,11,26,42.3,19.20%,33,92,35.9
Wayne Selden,MEM,23,20,15,27.10%,15,36,41.7,48.6,16.50%,10,22,45.5,10.50%,5,14,35.7
Wes Iwundu,ORL,23,37,23,28.30%,7,30,23.3,23.3,24.50%,7,26,26.9,3.80%,0,4,0
Wesley Johnson,LAC,30,49,39,27.90%,28,81,34.6,36.4,23.80%,25,69,36.2,4.10%,3,12,25
Wesley Matthews,DAL,31,56,55,30.40%,73,183,39.9,47.3,19.00%,46,114,40.4,11.50%,27,69,39.1
Will Barton,DEN,27,55,49,26.00%,52,161,32.3,41.9,9.50%,21,59,35.6,16.50%,31,102,30.4
Willie Cauley-Stein,SAC,24,50,30,10.90%,12,52,23.1,23.1,10.10%,12,48,25,0.80%,0,4,0
Willie Reed,DET,27,42,4,3.70%,1,4,25,37.5,1.90%,0,2,0,1.90%,1,2,50
Willy Hernangomez,CHA,23,26,2,2.70%,1,2,50,50,2.70%,1,2,50,0.00%,0,0,-
Wilson Chandler,DEN,30,50,37,19.60%,19,76,25,28.9,12.70%,13,49,26.5,7.00%,6,27,22.2
Yogi Ferrell,DAL,24,57,54,43.10%,89,205,43.4,50.5,27.10%,60,129,46.5,16.00%,29,76,38.2
Zach Collins,POR,20,41,12,9.80%,3,16,18.8,18.8,9.20%,3,15,20,0.60%,0,1,0
Zach LaVine,CHI,22,12,12,50.00%,31,80,38.8,49.4,21.90%,14,35,40,28.10%,17,45,37.8
Zach Randolph,SAC,36,48,36,10.90%,21,63,33.3,34.1,10.20%,20,59,33.9,0.70%,1,4,25
Zaza Pachulia,GSW,34,46,3,1.80%,2,3,66.7,66.7,1.80%,2,3,66.7,0.00%,0,0,-
Zhou Qi,HOU,22,14,1,4.50%,0,1,0,0,4.50%,0,1,0,0.00%,0,0,-
