PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Luke Kennard,DET,21,48,44,37.10%,42,101,41.6,44.6,29.00%,36,79,45.6,8.10%,6,22,27.3
Malachi Richardson,TOR,22,26,17,42.20%,13,35,37.1,44.3,22.90%,8,19,42.1,19.30%,5,16,31.3
Malcolm Brogdon,MIL,25,45,40,27.30%,56,120,46.7,54.2,18.90%,38,83,45.8,8.40%,18,37,48.6
Malcolm Delaney,ATL,28,48,43,43.30%,39,104,37.5,42.8,27.90%,28,67,41.8,15.40%,11,37,29.7
Malik Beasley,DEN,21,47,20,21.00%,11,29,37.9,41.4,17.40%,9,24,37.5,3.60%,2,5,40
Malik Monk,CHA,20,40,32,54.10%,30,113,26.5,34.5,24.90%,12,52,23.1,29.20%,18,61,29.5
Manu Ginobili,SAS,40,43,38,28.10%,29,86,33.7,43,11.40%,13,35,37.1,16.70%,16,51,31.4
Marc Gasol,MEM,33,54,48,15.60%,37,119,31.1,31.5,14.20%,36,109,33,1.30%,1,10,10
Marcin Gortat,WAS,33,56,15,4.50%,9,16,56.3,56.3,4.50%,9,16,56.3,0.00%,0,0,-
Marco Belinelli,ATL,31,51,49,39.00%,78,179,43.6,52,22.00%,48,101,47.5,17.00%,30,78,38.5
Marcus Georges-Hunt,MIN,23,34,7,22.50%,2,9,22.2,27.8,12.50%,1,5,20,10.00%,1,4,25
Marcus Morris,BOS,28,32,30,36.30%,47,115,40.9,43.9,30.30%,40,96,41.7,6.00%,7,19,36.8
Marcus Paige,CHA,24,1,1,50.00%,0,1,0,0,50.00%,0,1,0,0.00%,0,0,-
Marcus Smart,BOS,23,43,40,32.30%,45,132,34.1,40.2,17.80%,29,73,39.7,14.40%,16,59,27.1
Mario Chalmers,MEM,31,49,43,28.10%,29,88,33,36.4,16.00%,23,50,46,12.10%,6,38,15.8
Mario Hezonja,ORL,22,48,32,19.00%,26,59,44.1,51.7,12.20%,17,38,44.7,6.80%,9,21,42.9
Markel Brown,HOU,26,4,2,42.90%,2,3,66.7,83.3,14.30%,1,1,100,28.60%,1,2,50
