PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Aaron Brooks,IND,32,1,5,20,1,3,33.3,2,3,66.7,0,1,0,0,0,0,1,8,12.5
Aaron Gordon,ORL,21,4,6,66.7,0,0,0,7,10,70,1,2,50,0,1,0,5,20,25
Aaron Harrison,CHA,22,0,0,0,-,-,-,0,1,0,-,-,-,0,0,0,0,0,0
Adreian Payne,MIN,25,1,2,50,0,0,0,1,1,100,-,-,-,0,0,0,0,0,0
Al Horford,BOS,30,1,4,25,1,6,16.7,4,23,17.4,0,3,0,0,1,0,2,4,50
Al Jefferson,IND,32,1,5,20,6,9,66.7,2,13,15.4,0,0,0,0,0,0,0,0,0
Al-Farouq Aminu,POR,26,1,2,50,1,3,33.3,1,5,20,1,1,100,0,1,0,3,3,100
Alan Anderson,LAC,34,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Alan Williams,PHX,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec Burks,UTA,25,1,1,100,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0
Alex Abrines,OKC,23,0,0,0,1,2,50,0,2,0,0,0,0,1,1,100,4,11,36.4
Alex Len,PHX,23,3,5,60,4,7,57.1,1,4,25,0,0,0,0,0,0,0,0,0
Alexis Ajinca,NOP,28,2,3,66.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Allen Crabbe,POR,24,3,4,75,2,6,33.3,3,8,37.5,1,3,33.3,0,0,0,1,5,20
Alonzo Gee,DEN,29,0,0,0,0,0,0,0,1,0,0,0,0,-,-,-,0,0,0
Amir Johnson,BOS,29,3,7,42.9,0,0,0,0,1,0,0,0,0,1,1,100,0,0,0
Anderson Varejao,GSW,34,0,1,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0
Andre Drummond,DET,23,7,13,53.8,2,6,33.3,3,9,33.3,0,0,0,0,0,0,1,1,100
Andre Iguodala,GSW,33,5,5,100,0,0,0,0,0,0,2,3,66.7,0,0,0,4,5,80
Andre Roberson,OKC,25,2,4,50,0,1,0,0,2,0,0,2,0,0,2,0,3,8,37.5
Andrew Bogut,DAL,32,2,2,100,1,4,25,1,1,100,0,0,0,0,0,0,0,0,0
Andrew Harrison,MEM,22,1,7,14.3,0,1,0,1,10,10,0,1,0,0,1,0,3,16,18.8
Andrew Nicholson,WAS,27,1,2,50,1,1,100,0,0,0,0,0,0,0,1,0,0,0,0
Andrew Wiggins,MIN,21,3,4,75,2,4,50,6,20,30,0,0,0,0,0,0,2,9,22.2
Anthony Bennett,BKN,23,0,0,0,0,0,0,0,0,0,0,2,0,-,-,-,0,0,0
Anthony Brown,ORL,24,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,1,0
Anthony Davis,NOP,23,3,5,60,0,1,0,11,26,42.3,0,1,0,0,0,0,0,2,0
Anthony Morrow,OKC,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Anthony Tolliver,SAC,31,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50
Archie Goodwin,NOP,22,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
Arinze Onuaku,ORL,29,0,0,0,1,1,100,0,0,0,-,-,-,-,-,-,0,0,0
Aron Baynes,DET,30,3,5,60,1,2,50,1,1,100,0,0,0,0,0,0,0,0,0
Arron Afflalo,SAC,31,2,2,100,3,4,75,5,13,38.5,1,2,50,0,1,0,3,9,33.3
Austin Rivers,LAC,24,4,7,57.1,1,4,25,0,6,0,3,4,75,0,0,0,3,16,18.8
Avery Bradley,BOS,26,4,7,57.1,0,1,0,1,10,10,1,1,100,2,2,100,1,3,33.3
Ben McLemore,SAC,23,0,1,0,0,0,0,1,5,20,0,0,0,1,1,100,0,3,0
Beno Udrih,DET,34,2,2,100,1,1,100,0,3,0,0,1,0,0,0,0,1,4,25
Bismack Biyombo,ORL,24,3,6,50,2,7,28.6,1,9,11.1,0,0,0,0,0,0,0,0,0
Blake Griffin,LAC,27,2,7,28.6,3,7,42.9,3,13,23.1,1,3,33.3,1,1,100,1,7,14.3
Boban Marjanovic,DET,28,1,1,100,1,1,100,0,0,0,0,0,0,-,-,-,0,0,0
Bobby Brown,HOU,32,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,0,1,0
Bobby Portis,CHI,21,0,0,0,1,1,100,0,4,0,1,1,100,0,1,0,0,1,0
Bojan Bogdanovic,BKN,27,4,5,80,0,1,0,3,5,60,0,0,0,0,0,0,1,17,5.9
Boris Diaw,UTA,34,1,4,25,2,3,66.7,4,14,28.6,0,1,0,0,0,0,1,6,16.7
Bradley Beal,WAS,23,4,10,40,2,3,66.7,2,12,16.7,1,1,100,0,2,0,0,11,0
Brandon Bass,LAC,31,4,4,100,0,2,0,1,1,100,0,0,0,0,0,0,0,1,0
Brandon Ingram,LAL,19,4,5,80,2,4,50,4,10,40,0,0,0,1,2,50,1,11,9.1
Brandon Jennings,NYK,27,2,2,100,1,3,33.3,0,4,0,0,2,0,0,0,0,2,13,15.4
Brandon Knight,PHX,25,2,4,50,0,2,0,1,4,25,2,4,50,1,1,100,3,5,60
