PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,1,1,100,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Aaron Brooks,IND,32,1,3,33.3,1,2,50,3,5,60,0,0,0,0,1,0,4,13,30.8
Aaron Gordon,ORL,21,8,11,72.7,4,10,40,5,19,26.3,1,2,50,1,4,25,3,12,25
Aaron Harrison,CHA,22,0,0,0,0,0,0,0,0,0,-,-,-,0,1,0,0,0,0
Adreian Payne,MIN,25,0,0,0,1,1,100,1,3,33.3,0,0,0,0,0,0,0,0,0
Al Horford,BOS,30,7,9,77.8,6,15,40,13,18,72.2,2,2,100,0,1,0,3,10,30
Al Jefferson,IND,32,11,16,68.8,8,17,47.1,5,13,38.5,0,0,0,0,0,0,0,1,0
Al-Farouq Aminu,POR,26,6,13,46.2,3,5,60,0,1,0,0,4,0,0,2,0,4,5,80
Alan Anderson,LAC,34,0,1,0,0,0,0,1,2,50,0,3,0,0,0,0,1,3,33.3
Alan Williams,PHX,24,1,1,100,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0
Alec Burks,UTA,25,0,2,0,1,1,100,1,1,100,-,-,-,0,0,0,0,2,0
Alex Abrines,OKC,23,0,0,0,0,1,0,1,1,100,0,1,0,0,2,0,6,13,46.2
Alex Len,PHX,23,7,9,77.8,0,6,0,1,4,25,0,0,0,0,0,0,0,0,0
Alexis Ajinca,NOP,28,1,2,50,0,1,0,1,1,100,0,0,0,0,0,0,0,0,0
Allen Crabbe,POR,24,2,4,50,1,2,50,3,7,42.9,1,1,100,1,1,100,6,13,46.2
Alonzo Gee,DEN,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Johnson,BOS,29,6,10,60,3,5,60,0,0,0,0,3,0,1,2,50,2,4,50
Anderson Varejao,GSW,34,0,0,0,1,1,100,0,0,0,0,0,0,-,-,-,0,0,0
Andre Drummond,DET,23,10,14,71.4,6,13,46.2,5,11,45.5,0,0,0,0,0,0,0,0,0
Andre Iguodala,GSW,33,4,6,66.7,1,3,33.3,2,7,28.6,0,2,0,0,3,0,3,10,30
Andre Roberson,OKC,25,3,9,33.3,1,2,50,0,1,0,1,2,50,0,2,0,2,12,16.7
Andrew Bogut,DAL,32,0,0,0,2,3,66.7,1,1,100,0,0,0,0,0,0,0,0,0
Andrew Harrison,MEM,22,2,8,25,0,2,0,1,6,16.7,0,0,0,1,2,50,3,17,17.6
Andrew Nicholson,WAS,27,1,1,100,1,2,50,0,5,0,-,-,-,0,0,0,0,1,0
Andrew Wiggins,MIN,21,11,25,44,5,10,50,16,40,40,0,3,0,0,1,0,10,22,45.5
Anthony Bennett,BKN,23,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Anthony Brown,ORL,24,0,0,0,0,1,0,2,3,66.7,0,0,0,0,0,0,1,2,50
Anthony Davis,NOP,23,8,13,61.5,9,17,52.9,9,34,26.5,0,0,0,0,0,0,1,3,33.3
Anthony Morrow,OKC,31,2,2,100,0,0,0,1,1,100,0,0,0,0,0,0,1,5,20
Anthony Tolliver,SAC,31,3,3,100,2,3,66.7,0,1,0,2,4,50,0,2,0,2,7,28.6
Archie Goodwin,NOP,22,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Arinze Onuaku,ORL,29,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,0,0,0
Aron Baynes,DET,30,3,6,50,6,10,60,1,4,25,0,0,0,0,0,0,0,0,0
Arron Afflalo,SAC,31,1,3,33.3,2,6,33.3,3,11,27.3,1,1,100,4,4,100,3,11,27.3
Austin Rivers,LAC,24,7,11,63.6,1,2,50,3,7,42.9,1,2,50,1,1,100,5,11,45.5
Avery Bradley,BOS,26,9,16,56.3,1,3,33.3,3,13,23.1,2,4,50,2,3,66.7,6,12,50
Ben McLemore,SAC,23,3,7,42.9,0,0,0,3,9,33.3,0,1,0,0,0,0,0,3,0
Beno Udrih,DET,34,0,0,0,4,4,100,2,3,66.7,0,0,0,0,0,0,0,0,0
Bismack Biyombo,ORL,24,8,13,61.5,3,9,33.3,3,5,60,0,0,0,0,0,0,0,0,0
Blake Griffin,LAC,27,5,11,45.5,1,8,12.5,11,26,42.3,1,1,100,0,0,0,0,2,0
Boban Marjanovic,DET,28,3,6,50,1,4,25,1,1,100,0,0,0,-,-,-,0,0,0
Bobby Brown,HOU,32,0,1,0,0,0,0,0,2,0,0,0,0,-,-,-,0,1,0
Bobby Portis,CHI,21,1,1,100,1,2,50,0,3,0,0,1,0,1,1,100,0,0,0
Bojan Bogdanovic,BKN,27,4,10,40,1,2,50,2,7,28.6,0,0,0,0,1,0,8,19,42.1
Boris Diaw,UTA,34,8,17,47.1,3,3,100,1,3,33.3,0,0,0,0,1,0,2,6,33.3
Bradley Beal,WAS,23,5,7,71.4,3,6,50,6,12,50,1,1,100,0,1,0,10,25,40
Brandon Bass,LAC,31,6,7,85.7,1,3,33.3,1,3,33.3,0,0,0,-,-,-,0,0,0
Brandon Ingram,LAL,19,1,4,25,1,11,9.1,4,15,26.7,0,1,0,2,5,40,3,9,33.3
Brandon Jennings,NYK,27,3,9,33.3,1,1,100,1,8,12.5,1,1,100,0,2,0,5,11,45.5
Brandon Knight,PHX,25,4,6,66.7,0,8,0,3,6,50,0,0,0,0,2,0,1,12,8.3
Brandon Rush,MIN,31,0,0,0,0,0,0,0,1,0,2,3,66.7,0,0,0,0,1,0
Brian Roberts,CHA,31,0,0,0,0,0,0,0,1,0,-,-,-,0,1,0,0,1,0
Brook Lopez,BKN,28,7,16,43.8,9,19,47.4,2,8,25,0,2,0,0,1,0,8,14,57.1
Bruno Caboclo,TOR,21,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Bryn Forbes,SAS,23,0,0,0,0,0,0,1,2,50,1,1,100,0,0,0,0,2,0
Buddy Hield,NOP,23,3,8,37.5,3,7,42.9,3,8,37.5,0,0,0,1,1,100,1,5,20
CJ McCollum,POR,25,6,11,54.5,9,13,69.2,3,16,18.8,0,0,0,1,2,50,13,25,52
CJ Miles,IND,29,1,3,33.3,1,3,33.3,2,6,33.3,1,2,50,1,3,33.3,6,10,60
CJ Watson,ORL,32,2,2,100,1,1,100,0,2,0,0,2,0,0,0,0,1,3,33.3
CJ Wilcox,ORL,26,0,0,0,1,1,100,0,0,0,-,-,-,0,0,0,0,1,0
Cameron Payne,OKC,22,1,1,100,2,3,66.7,0,1,0,0,0,0,0,0,0,1,7,14.3
Caris LeVert,BKN,22,1,3,33.3,1,2,50,1,1,100,0,1,0,0,2,0,3,4,75
Carmelo Anthony,NYK,32,3,18,16.7,5,10,50,21,48,43.8,1,2,50,0,1,0,11,27,40.7
Chandler Parsons,MEM,28,5,7,71.4,1,3,33.3,1,7,14.3,0,0,0,0,0,0,1,8,12.5
Channing Frye,CLE,33,3,3,100,1,1,100,2,2,100,1,2,50,0,0,0,6,10,60
Chasson Randle,PHI,23,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-
Cheick Diallo,NOP,20,0,0,0,0,1,0,0,1,0,0,0,0,-,-,-,0,0,0
Chinanu Onuaku,HOU,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
Chris Andersen,CLE,38,1,1,100,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0
Chris McCullough,BKN,21,0,1,0,1,1,100,0,0,0,-,-,-,-,-,-,0,0,0
Chris Paul,LAC,31,2,3,66.7,1,4,25,10,17,58.8,1,1,100,0,0,0,10,21,47.6
Christian Wood,CHA,21,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-
Clint Capela,HOU,22,6,9,66.7,4,7,57.1,0,0,0,0,0,0,0,0,0,0,0,0
Cody Zeller,CHA,24,7,9,77.8,3,5,60,1,6,16.7,0,0,0,0,0,0,0,0,0
Cole Aldrich,MIN,28,2,2,100,1,5,20,0,0,0,0,0,0,0,0,0,0,0,0
Corey Brewer,HOU,30,2,6,33.3,1,2,50,2,2,100,2,6,33.3,1,3,33.3,0,1,0
Cory Joseph,TOR,25,2,6,33.3,3,5,60,5,10,50,0,1,0,0,0,0,2,4,50
Courtney Lee,NYK,31,2,4,50,1,4,25,8,15,53.3,1,1,100,0,3,0,3,13,23.1
Cristiano Felicio,CHI,24,3,5,60,1,4,25,0,1,0,0,0,0,0,0,0,0,0,0
D'Angelo Russell,LAL,20,3,5,60,2,3,66.7,6,13,46.2,0,2,0,0,1,0,2,14,14.3
D.J. Augustin,ORL,29,3,4,75,1,3,33.3,4,7,57.1,1,4,25,0,0,0,4,13,30.8
Damian Jones,GSW,21,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Damian Lillard,POR,26,3,10,30,5,8,62.5,3,9,33.3,0,0,0,1,1,100,4,21,19
Damjan Rudez,ORL,30,0,0,0,0,0,0,0,1,0,0,0,0,-,-,-,0,2,0
Daniel Ochefu,WAS,23,3,5,60,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0
Danilo Gallinari,DEN,28,3,6,50,2,2,100,6,19,31.6,2,5,40,0,0,0,6,25,24
Danny Green,SAS,29,1,1,100,0,3,0,1,3,33.3,0,2,0,1,3,33.3,5,10,50
Dante Cunningham,NOP,29,2,3,66.7,0,2,0,1,1,100,0,1,0,2,4,50,1,3,33.3
Dante Exum,UTA,21,5,8,62.5,0,1,0,2,2,100,0,3,0,0,1,0,2,4,50
Dario Saric,PHI,22,3,5,60,3,4,75,0,8,0,0,1,0,0,0,0,5,13,38.5
Darrell Arthur,DEN,28,1,1,100,1,1,100,1,2,50,1,2,50,1,3,33.3,2,7,28.6
Darren Collison,SAC,29,3,7,42.9,4,10,40,7,15,46.7,2,4,50,1,2,50,3,7,42.9
Darrun Hilliard,DET,23,0,0,0,2,4,50,0,1,0,1,1,100,0,0,0,1,5,20
David Lee,SAS,33,6,11,54.5,1,5,20,3,3,100,0,0,0,0,0,0,0,0,0
David West,GSW,36,0,3,0,2,3,66.7,2,6,33.3,0,0,0,0,0,0,1,1,100
Davis Bertans,SAS,24,1,2,50,0,0,0,0,0,0,2,2,100,2,2,100,3,8,37.5
DeAndre Jordan,LAC,28,18,24,75,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Liggins,CLE,28,1,2,50,0,0,0,0,1,0,2,4,50,2,2,100,0,3,0
DeAndre' Bembry,ATL,22,1,2,50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
DeMar DeRozan,TOR,27,7,12,58.3,16,27,59.3,30,55,54.5,1,2,50,2,4,50,0,3,0
DeMarcus Cousins,SAC,26,34,56,60.7,9,25,36,11,41,26.8,0,1,0,0,0,0,6,19,31.6
DeMarre Carroll,TOR,30,1,4,25,1,9,11.1,3,7,42.9,1,2,50,2,5,40,4,14,28.6
Dejounte Murray,SAS,20,1,2,50,2,5,40,0,2,0,0,0,0,0,0,0,1,1,100
Demetrius Jackson,BOS,22,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
