PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
CJ McCollum,POR,25,15,28,53.6,10,25,40,29,56,51.8,3,4,75,0,3,0,17,37,45.9
CJ Miles,IND,29,2,8,25,1,2,50,3,6,50,1,1,100,1,3,33.3,4,26,15.4
CJ Watson,ORL,32,1,4,25,0,4,0,0,2,0,0,0,0,1,2,50,1,3,33.3
CJ Wilcox,ORL,26,0,0,0,0,0,0,0,0,0,-,-,-,0,1,0,1,3,33.3
Cameron Payne,OKC,22,0,1,0,1,4,25,0,3,0,0,0,0,0,0,0,0,1,0
Caris LeVert,BKN,22,5,5,100,2,3,66.7,1,1,100,1,3,33.3,0,1,0,5,18,27.8
Carmelo Anthony,NYK,32,9,14,64.3,3,13,23.1,27,62,43.5,0,3,0,2,5,40,11,41,26.8
Chandler Parsons,MEM,28,3,5,60,0,1,0,1,5,20,0,0,0,0,2,0,2,9,22.2
Channing Frye,CLE,33,3,4,75,0,3,0,4,7,57.1,1,2,50,0,2,0,14,37,37.8
Chasson Randle,PHI,23,1,1,100,0,0,0,0,1,0,0,0,0,0,0,0,1,1,100
Cheick Diallo,NOP,20,0,3,0,0,0,0,2,6,33.3,0,0,0,0,0,0,0,0,0
Chinanu Onuaku,HOU,20,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Chris Andersen,CLE,38,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris McCullough,BKN,21,0,1,0,0,0,0,1,1,100,0,0,0,0,0,0,1,1,100
Chris Paul,LAC,31,2,3,66.7,12,16,75,14,40,35,0,0,0,0,1,0,4,16,25
Christian Wood,CHA,21,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-
Clint Capela,HOU,22,34,43,79.1,2,4,50,0,0,0,0,0,0,0,0,0,0,0,0
Cody Zeller,CHA,24,22,38,57.9,8,13,61.5,4,8,50,0,0,0,0,0,0,0,0,0
Cole Aldrich,MIN,28,3,5,60,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0
Corey Brewer,HOU,30,5,5,100,0,2,0,0,0,0,0,1,0,1,3,33.3,1,4,25
Cory Joseph,TOR,25,18,24,75,4,12,33.3,11,20,55,1,1,100,0,0,0,4,7,57.1
Courtney Lee,NYK,31,1,4,25,2,6,33.3,11,19,57.9,3,5,60,4,6,66.7,8,14,57.1
Cristiano Felicio,CHI,24,7,10,70,1,1,100,1,2,50,0,0,0,0,0,0,0,0,0
D'Angelo Russell,LAL,20,3,10,30,7,13,53.8,7,18,38.9,0,0,0,1,2,50,8,40,20
D.J. Augustin,ORL,29,6,9,66.7,7,12,58.3,3,9,33.3,0,0,0,0,3,0,9,23,39.1
Damian Jones,GSW,21,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Damian Lillard,POR,26,44,67,65.7,6,21,28.6,20,46,43.5,1,1,100,1,1,100,20,62,32.3
Damjan Rudez,ORL,30,0,0,0,0,1,0,2,2,100,0,0,0,0,1,0,2,9,22.2
Daniel Ochefu,WAS,23,0,0,0,0,1,0,0,0,0,-,-,-,0,0,0,0,0,0
Danilo Gallinari,DEN,28,8,16,50,1,4,25,9,23,39.1,1,2,50,3,4,75,12,33,36.4
Danny Green,SAS,29,0,0,0,0,0,0,1,2,50,1,1,100,2,6,33.3,3,9,33.3
Dante Cunningham,NOP,29,4,7,57.1,1,1,100,2,6,33.3,4,8,50,3,6,50,4,12,33.3
Dante Exum,UTA,21,8,16,50,1,3,33.3,1,2,50,0,1,0,0,1,0,2,4,50
Dario Saric,PHI,22,8,16,50,2,2,100,1,15,6.7,0,0,0,0,1,0,11,28,39.3
Darrell Arthur,DEN,28,2,2,100,0,0,0,2,6,33.3,0,0,0,1,1,100,9,14,64.3
Darren Collison,SAC,29,8,21,38.1,5,10,50,9,17,52.9,1,2,50,1,2,50,3,12,25
Darrun Hilliard,DET,23,0,1,0,0,2,0,0,3,0,1,3,33.3,0,0,0,1,3,33.3
David Lee,SAS,33,14,19,73.7,1,2,50,4,6,66.7,0,0,0,0,0,0,0,0,0
David West,GSW,36,7,8,87.5,0,4,0,4,9,44.4,0,0,0,0,0,0,1,1,100
Davis Bertans,SAS,24,2,2,100,0,0,0,0,0,0,0,1,0,0,1,0,2,8,25
DeAndre Jordan,LAC,28,32,43,74.4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Liggins,CLE,28,4,8,50,0,1,0,0,3,0,0,1,0,2,3,66.7,0,1,0
DeAndre' Bembry,ATL,22,4,4,100,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0
DeMar DeRozan,TOR,27,24,34,70.6,22,38,57.9,25,56,44.6,1,3,33.3,0,0,0,0,5,0
DeMarcus Cousins,SAC,26,30,45,66.7,10,20,50,5,13,38.5,0,1,0,0,0,0,17,42,40.5
DeMarre Carroll,TOR,30,4,6,66.7,0,2,0,1,1,100,1,6,16.7,2,7,28.6,10,16,62.5
Dejounte Murray,SAS,20,2,5,40,2,6,33.3,0,1,0,1,1,100,0,0,0,1,1,100
Demetrius Jackson,BOS,22,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-
Dennis Schroder,ATL,23,31,58,53.4,10,22,45.5,15,35,42.9,1,1,100,1,2,50,10,24,41.7
Denzel Valentine,CHI,23,0,0,0,1,1,100,0,0,0,1,2,50,0,2,0,3,9,33.3
Deron Williams,DAL,32,5,12,41.7,8,11,72.7,14,24,58.3,1,1,100,0,2,0,5,24,20.8
Derrick Favors,UTA,25,5,11,45.5,2,3,66.7,3,11,27.3,0,0,0,0,0,0,0,1,0
"Derrick Jones, Jr.",PHX,19,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Derrick Rose,NYK,28,25,42,59.5,15,36,41.7,14,33,42.4,1,1,100,0,0,0,1,8,12.5
Derrick Williams,MIA,25,2,9,22.2,0,0,0,1,1,100,0,1,0,0,0,0,0,4,0
Devin Booker,PHX,20,14,22,63.6,5,16,31.3,12,33,36.4,0,3,0,0,1,0,7,25,28
Devin Harris,DAL,33,3,6,50,1,1,100,2,2,100,1,3,33.3,0,0,0,2,4,50
Dewayne Dedmon,SAS,27,5,14,35.7,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0
Deyonta Davis,MEM,20,1,2,50,1,1,100,0,3,0,0,0,0,0,0,0,0,0,0
Diamond Stone,LAC,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dion Waiters,MIA,25,10,32,31.3,1,5,20,3,10,30,2,2,100,0,0,0,7,12,58.3
Dirk Nowitzki,DAL,38,3,3,100,1,1,100,5,10,50,1,1,100,0,0,0,7,13,53.8
Domantas Sabonis,OKC,20,7,12,58.3,3,3,100,2,9,22.2,2,5,40,2,4,50,6,19,31.6
Donatas Motiejunas,NOP,26,2,3,66.7,3,5,60,0,0,0,0,0,0,0,0,0,3,5,60
Dorian Finney-Smith,DAL,23,4,6,66.7,0,0,0,0,1,0,1,1,100,3,7,42.9,1,9,11.1
Doug McDermott,CHI,25,4,7,57.1,3,6,50,7,16,43.8,0,3,0,0,2,0,6,11,54.5
Dragan Bender,PHX,19,1,2,50,0,0,0,0,4,0,0,1,0,0,2,0,4,4,100
Draymond Green,GSW,26,20,33,60.6,2,7,28.6,2,8,25,0,0,0,1,1,100,7,33,21.2
Dwight Howard,ATL,31,25,36,69.4,4,7,57.1,2,5,40,0,0,0,0,0,0,0,0,0
Dwight Powell,DAL,25,17,25,68,1,4,25,2,9,22.2,0,0,0,0,0,0,1,3,33.3
Dwyane Wade,CHI,35,18,36,50,17,27,63,14,41,34.1,2,2,100,0,0,0,3,14,21.4
E'Twaun Moore,NOP,27,9,14,64.3,10,14,71.4,6,15,40,1,4,25,0,3,0,10,23,43.5
Ed Davis,POR,27,0,5,0,4,6,66.7,0,0,0,0,0,0,0,0,0,0,0,0
Edy Tavares,ATL,24,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-
Elfrid Payton,ORL,22,33,57,57.9,13,28,46.4,10,27,37,0,0,0,0,1,0,2,6,33.3
Emmanuel Mudiay,DEN,20,15,27,55.6,2,11,18.2,7,23,30.4,1,3,33.3,3,5,60,9,21,42.9
Enes Kanter,OKC,24,12,19,63.2,1,3,33.3,3,8,37.5,0,2,0,0,2,0,0,2,0
Eric Bledsoe,PHX,27,26,37,70.3,6,13,46.2,13,29,44.8,0,0,0,0,3,0,5,25,20
Eric Gordon,HOU,28,15,27,55.6,4,10,40,3,11,27.3,3,8,37.5,0,4,0,29,73,39.7
Ersan Ilyasova,PHI,29,18,35,51.4,3,9,33.3,10,22,45.5,6,11,54.5,1,4,25,15,40,37.5
Evan Fournier,ORL,24,11,15,73.3,3,9,33.3,6,10,60,0,1,0,0,2,0,9,16,56.3
Evan Turner,POR,28,7,8,87.5,9,14,64.3,11,29,37.9,0,2,0,3,3,100,3,11,27.3
Frank Kaminsky,CHA,23,8,12,66.7,3,9,33.3,1,3,33.3,1,2,50,1,2,50,7,24,29.2
Fred VanVleet,TOR,22,0,0,0,0,0,0,1,1,100,0,0,0,0,1,0,1,1,100
Garrett Temple,SAC,30,3,3,100,0,1,0,2,8,25,1,7,14.3,1,5,20,3,10,30
Gary Harris,DEN,22,10,19,52.6,1,4,25,2,5,40,0,0,0,0,0,0,6,19,31.6
Gary Neal,ATL,32,0,0,0,0,0,0,0,1,0,-,-,-,0,0,0,0,1,0
