PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-,0,0,0
Aaron Brooks,IND,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Gordon,ORL,21,26,36,72.2,1,3,33.3,0,0,0,0,0,0,0,1,0,0,1,0
Aaron Harrison,CHA,22,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adreian Payne,MIN,25,1,1,100,0,0,0,0,1,0,-,-,-,-,-,-,0,1,0
Al Horford,BOS,30,5,11,45.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Al Jefferson,IND,32,13,25,52,2,2,100,0,1,0,0,0,0,0,0,0,0,0,0
Al-Farouq Aminu,POR,26,3,10,30,0,2,0,0,0,0,0,1,0,1,2,50,0,2,0
Alan Anderson,LAC,34,0,0,0,0,1,0,0,0,0,-,-,-,0,0,0,0,1,0
Alan Williams,PHX,24,8,13,61.5,1,1,100,0,0,0,-,-,-,-,-,-,0,0,0
Alec Burks,UTA,25,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Alex Abrines,OKC,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Alex Len,PHX,23,17,31,54.8,3,6,50,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Ajinca,NOP,28,3,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Crabbe,POR,24,2,5,40,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0
Alonzo Gee,DEN,29,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0
Amir Johnson,BOS,29,11,19,57.9,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Varejao,GSW,34,0,1,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Andre Drummond,DET,23,56,90,62.2,12,20,60,1,3,33.3,0,0,0,0,0,0,0,0,0
Andre Iguodala,GSW,33,3,3,100,0,0,0,0,0,0,1,1,100,0,2,0,0,0,0
Andre Roberson,OKC,25,5,18,27.8,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0
Andrew Bogut,DAL,32,11,23,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Harrison,MEM,22,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Nicholson,WAS,27,3,4,75,0,1,0,0,0,0,-,-,-,0,0,0,0,0,0
Andrew Wiggins,MIN,21,17,20,85,2,2,100,0,2,0,0,0,0,0,0,0,0,3,0
Anthony Bennett,BKN,23,9,10,90,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Anthony Brown,ORL,24,1,2,50,0,0,0,1,1,100,1,1,100,-,-,-,0,0,0
Anthony Davis,NOP,23,31,50,62,2,3,66.7,2,8,25,0,0,0,0,1,0,0,1,0
Anthony Morrow,OKC,31,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,2,6,33.3
Anthony Tolliver,SAC,31,4,7,57.1,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0
Archie Goodwin,NOP,22,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-
Arinze Onuaku,ORL,29,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-,0,0,0
Aron Baynes,DET,30,11,19,57.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Arron Afflalo,SAC,31,0,0,0,1,1,100,1,1,100,0,0,0,0,0,0,2,3,66.7
Austin Rivers,LAC,24,1,1,100,0,0,0,0,0,0,0,1,0,0,0,0,1,2,50
Avery Bradley,BOS,26,13,17,76.5,1,1,100,0,3,0,1,2,50,1,1,100,2,3,66.7
Ben McLemore,SAC,23,2,2,100,0,0,0,1,1,100,0,0,0,1,1,100,1,3,33.3
Beno Udrih,DET,34,0,0,0,0,0,0,1,4,25,0,0,0,0,0,0,0,0,0
Bismack Biyombo,ORL,24,10,18,55.6,2,5,40,0,0,0,0,0,0,0,0,0,0,0,0
Blake Griffin,LAC,27,15,22,68.2,1,3,33.3,1,1,100,0,0,0,0,0,0,0,0,0
Boban Marjanovic,DET,28,3,6,50,1,1,100,0,0,0,-,-,-,-,-,-,0,0,0
Bobby Brown,HOU,32,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Bobby Portis,CHI,21,6,9,66.7,1,1,100,0,1,0,0,0,0,-,-,-,0,1,0
Bojan Bogdanovic,BKN,27,10,10,100,0,0,0,1,1,100,0,0,0,0,0,0,1,4,25
Boris Diaw,UTA,34,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bradley Beal,WAS,23,8,13,61.5,1,2,50,0,1,0,1,2,50,0,0,0,6,10,60
Brandon Bass,LAC,31,5,7,71.4,0,1,0,1,1,100,0,0,0,0,0,0,0,0,0
Brandon Ingram,LAL,19,10,16,62.5,1,3,33.3,0,2,0,0,0,0,0,0,0,0,4,0
Brandon Jennings,NYK,27,3,5,60,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
Brandon Knight,PHX,25,1,4,25,1,1,100,0,0,0,0,0,0,0,0,0,0,2,0
Brandon Rush,MIN,31,1,1,100,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Brian Roberts,CHA,31,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Brook Lopez,BKN,28,15,31,48.4,0,1,0,2,2,100,0,0,0,0,0,0,1,5,20
Bruno Caboclo,TOR,21,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Bryn Forbes,SAS,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buddy Hield,NOP,23,1,4,25,0,0,0,0,0,0,0,1,0,0,0,0,2,4,50
CJ McCollum,POR,25,6,7,85.7,2,3,66.7,2,3,66.7,0,0,0,0,1,0,6,13,46.2
CJ Miles,IND,29,3,5,60,2,2,100,0,0,0,3,4,75,0,0,0,1,1,100
CJ Watson,ORL,32,1,2,50,0,1,0,0,1,0,1,1,100,0,0,0,1,1,100
CJ Wilcox,ORL,26,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Cameron Payne,OKC,22,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0
