PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
Wesley Johnson,LAC,29,1,4,25,1,1,100,6,12,50,5,13,38.5,1,5,20,5,26,19.2
Wesley Matthews,DAL,30,16,33,48.5,12,28,42.9,20,55,36.4,4,8,50,3,11,27.3,48,120,40
Will Barton,DEN,26,11,34,32.4,10,26,38.5,11,32,34.4,1,8,12.5,1,2,50,15,30,50
Willie Cauley-Stein,SAC,23,31,43,72.1,8,15,53.3,2,7,28.6,0,0,0,0,0,0,0,0,0
Willie Reed,MIA,26,26,32,81.3,7,17,41.2,2,6,33.3,0,0,0,0,0,0,0,0,0
Willy Hernangomez,NYK,22,25,41,61,3,11,27.3,5,13,38.5,0,2,0,0,1,0,0,2,0
Wilson Chandler,DEN,29,40,63,63.5,33,66,50,18,52,34.6,1,7,14.3,3,16,18.8,18,54,33.3
Yogi Ferrell,DAL,23,3,5,60,0,0,0,0,4,0,0,1,0,0,0,0,2,11,18.2
Zach LaVine,MIN,21,22,48,45.8,7,13,53.8,32,77,41.6,10,18,55.6,7,11,63.6,51,129,39.5
Zach Randolph,MEM,35,47,83,56.6,44,84,52.4,39,102,38.2,0,0,0,1,3,33.3,4,11,36.4
Zaza Pachulia,GSW,32,30,51,58.8,4,7,57.1,5,12,41.7,0,0,0,0,0,0,0,0,0
