Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,hW/L%,hFGA,hFTA,hPF,hPTS,aW/L%,aFGA,aFTA,aPF,aPTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Hue Hollins,NBA,74,172.4,54.0,44.6,207.5,-2.3,+0.6,+0.1,-3.1,.730,86.3,29.6,20.5,107.6,.270,86.1,24.4,24.2,99.9,+.459,+0.2,+5.2,-3.7,+7.6,+.196,0.0,+3.2,-2.4,+3.1
Steve Javie,NBA,71,175.4,50.2,43.1,209.3,+0.7,-3.2,-1.4,-1.3,.592,87.7,25.9,21.2,107.3,.408,87.7,24.4,21.9,102.0,+.183,0.0,+1.5,-0.7,+5.4,-.080,-0.2,-0.5,+0.6,+0.9
David Jones,NBA,63,173.3,56.3,46.8,210.9,-1.4,+2.9,+2.3,+0.3,.603,86.2,29.3,22.9,108.0,.397,87.0,27.0,23.9,102.9,+.206,-0.8,+2.3,-1.0,+5.1,-.057,-1.0,+0.3,+0.3,+0.6
Lee Jones,NBA,69,175.3,51.2,42.9,209.4,+0.6,-2.2,-1.6,-1.2,.638,87.5,26.3,20.8,106.4,.362,87.9,25.0,22.1,103.0,+.275,-0.4,+1.3,-1.3,+3.4,+.012,-0.6,-0.7,0.0,-1.1
Jess Kersey,NBA,71,174.8,53.7,44.4,209.9,+0.1,+0.3,-0.1,-0.7,.634,88.3,28.6,21.4,107.5,.366,86.5,25.2,23.0,102.4,+.268,+1.8,+3.4,-1.7,+5.2,+.005,+1.6,+1.4,-0.4,+0.7
Jim Kinsey,NBA,56,176.2,55.9,45.1,214.8,+1.5,+2.5,+0.6,+4.2,.696,89.3,29.0,21.4,109.6,.304,86.9,26.9,23.7,105.3,+.393,+2.4,+2.2,-2.4,+4.3,+.130,+2.2,+0.2,-1.1,-0.2
Jack Madden,NBA,10,180.7,55.8,45.8,216.0,+6.0,+2.4,+1.3,+5.4,.600,91.3,30.5,22.1,112.8,.400,89.4,25.3,23.7,103.2,+.200,+1.9,+5.2,-1.6,+9.6,-.063,+1.7,+3.2,-0.3,+5.1
Mike Mathis,NBA,71,173.4,51.9,44.7,208.8,-1.3,-1.5,+0.2,-1.8,.592,86.9,25.8,22.2,105.9,.408,86.5,26.0,22.4,102.9,+.183,+0.5,-0.2,-0.2,+3.1,-.080,+0.3,-2.2,+1.1,-1.4
Ken Mauer,NBA,64,175.0,47.3,40.4,205.9,+0.3,-6.1,-4.1,-4.7,.578,86.8,25.1,19.8,103.9,.422,88.1,22.2,20.7,102.0,+.156,-1.3,+3.0,-0.9,+2.0,-.107,-1.5,+1.0,+0.4,-2.5
Woody Mayfield,NBA,55,173.9,53.8,44.4,211.7,-0.8,+0.4,-0.1,+1.1,.709,87.2,28.5,21.3,107.9,.291,86.7,25.3,23.1,103.8,+.418,+0.6,+3.2,-1.9,+4.1,+.155,+0.4,+1.2,-0.6,-0.4
Ed Middleton,NBA,65,173.0,58.0,46.7,215.2,-1.7,+4.6,+2.2,+4.6,.631,86.3,30.2,22.6,109.6,.369,86.7,27.8,24.0,105.5,+.262,-0.4,+2.4,-1.4,+4.1,-.001,-0.6,+0.4,-0.1,-0.4
Paul Mihalak,NBA,72,174.8,55.6,46.7,214.3,+0.1,+2.2,+2.2,+3.7,.667,87.8,28.7,22.8,110.0,.333,87.1,26.9,23.9,104.3,+.333,+0.7,+1.8,-1.1,+5.6,+.070,+0.5,-0.2,+0.2,+1.1
Jack Nies,NBA,71,173.0,57.0,46.5,214.5,-1.7,+3.6,+2.0,+3.9,.606,87.3,28.8,22.9,108.3,.394,85.7,28.3,23.7,106.2,+.211,+1.6,+0.5,-0.8,+2.1,-.052,+1.4,-1.5,+0.5,-2.4
Tommy Nunez Sr.,NBA,75,173.7,54.1,45.9,209.9,-1.0,+0.7,+1.4,-0.7,.587,87.1,27.8,22.5,107.0,.413,86.6,26.3,23.4,102.9,+.173,+0.4,+1.5,-1.0,+4.1,-.090,+0.2,-0.5,+0.3,-0.4
Ronnie Nunn,NBA,63,172.4,55.2,45.7,210.3,-2.3,+1.8,+1.2,-0.3,.619,87.0,29.2,21.7,106.9,.381,85.5,26.0,24.0,103.4,+.238,+1.5,+3.1,-2.2,+3.5,-.025,+1.3,+1.1,-0.9,-1.0
Bill Oakes,NBA,73,174.3,51.0,43.4,205.2,-0.4,-2.4,-1.1,-5.4,.630,86.9,25.9,21.7,104.5,.370,87.4,25.1,21.7,100.7,+.260,-0.6,+0.8,+0.1,+3.8,-.003,-0.8,-1.2,+1.4,-0.7
Jake O'Donnell,NBA,74,172.7,55.2,44.8,210.5,-2.0,+1.8,+0.3,-0.1,.608,86.6,27.9,22.0,106.4,.392,86.1,27.3,22.8,104.1,+.216,+0.5,+0.6,-0.7,+2.4,-.047,+0.3,-1.4,+0.6,-2.1
Ron Olesiak,NBA,65,174.7,55.2,46.6,210.1,0.0,+1.8,+2.1,-0.5,.646,86.7,29.2,22.6,106.5,.354,88.0,26.0,24.0,103.6,+.292,-1.4,+3.2,-1.4,+2.9,+.029,-1.6,+1.2,-0.1,-1.6
Blane Reichelt,NBA,69,174.0,55.1,44.3,212.1,-0.7,+1.7,-0.2,+1.5,.493,88.2,28.1,21.9,106.6,.507,85.8,27.0,22.4,105.5,-.014,+2.4,+1.1,-0.6,+1.1,-.277,+2.2,-0.9,+0.7,-3.4
Wally Rooney,NBA,66,171.7,56.2,48.3,211.6,-3.0,+2.8,+3.8,+1.0,.742,85.0,29.7,23.3,109.1,.258,86.6,26.5,25.1,102.6,+.485,-1.6,+3.2,-1.8,+6.5,+.222,-1.8,+1.2,-0.5,+2.0
Eddie F. Rush,NBA,72,173.2,54.1,44.6,211.5,-1.5,+0.7,+0.1,+0.9,.653,86.5,27.4,21.9,107.2,.347,86.7,26.7,22.7,104.3,+.306,-0.2,+0.7,-0.8,+2.9,+.043,-0.4,-1.3,+0.5,-1.6
Ed T. Rush,NBA,77,174.7,50.5,43.5,207.1,0.0,-2.9,-1.0,-3.5,.597,88.5,25.6,21.3,105.0,.403,86.2,24.9,22.2,102.1,+.195,+2.3,+0.7,-0.9,+2.8,-.068,+2.1,-1.3,+0.4,-1.7
Bill Saar,NBA,55,175.9,47.5,41.0,205.2,+1.2,-5.9,-3.5,-5.4,.636,87.9,24.5,20.1,104.7,.364,88.1,23.1,20.9,100.5,+.273,-0.2,+1.4,-0.8,+4.2,+.010,-0.4,-0.6,+0.5,-0.3
Bennett Salvatore,NBA,5,175.6,61.2,50.8,198.8,+0.9,+7.8,+6.3,-11.8,.800,86.2,32.8,23.8,101.4,.200,89.4,28.4,27.0,97.4,+.600,-3.2,+4.4,-3.2,+4.0,+.337,-3.4,+2.4,-1.9,-0.5
Bill Spooner,NBA,57,171.7,54.4,44.7,208.3,-3.0,+1.0,+0.2,-2.3,.561,86.1,28.6,21.5,105.6,.439,85.6,25.7,23.2,102.7,+.123,+0.4,+2.9,-1.8,+2.9,-.140,+0.2,+0.9,-0.5,-1.6
Derrick Stafford,NBA,60,179.3,51.0,42.2,214.8,+4.6,-2.4,-2.3,+4.2,.717,89.8,26.2,20.3,112.3,.283,89.5,24.7,21.9,102.5,+.433,+0.3,+1.5,-1.6,+9.7,+.170,+0.1,-0.5,-0.3,+5.2
George Toliver,NBA,54,176.7,53.6,44.1,212.2,+2.0,+0.2,-0.4,+1.6,.685,88.8,27.3,21.7,109.3,.315,87.9,26.3,22.4,102.9,+.370,+1.0,+1.0,-0.7,+6.4,+.107,+0.8,-1.0,+0.6,+1.9
Don Vaden,NBA,63,176.8,51.9,43.9,213.0,+2.1,-1.5,-0.6,+2.4,.556,87.9,26.3,21.7,107.5,.444,88.9,25.7,22.2,105.6,+.111,-1.0,+0.6,-0.4,+1.9,-.152,-1.2,-1.4,+0.9,-2.6
Tom Washington,NBA,45,174.8,55.1,45.4,212.2,+0.1,+1.7,+0.9,+1.6,.556,88.1,27.5,22.5,106.7,.444,86.6,27.6,23.0,105.6,+.111,+1.5,0.0,-0.5,+1.1,-.152,+1.3,-2.0,+0.8,-3.4
Tom White,NBA,1,180.0,38.0,40.0,184.0,+5.3,-15.4,-4.5,-26.6,.000,99.0,14.0,21.0,90.0,1.000,81.0,24.0,19.0,94.0,-1.000,+18.0,-10.0,+2.0,-4.0,-1.263,+17.8,-12.0,+3.3,-8.5
Greg Willard,NBA,67,178.0,52.3,43.3,210.7,+3.3,-1.1,-1.2,+0.1,.761,88.9,28.7,20.1,108.7,.239,89.1,23.6,23.2,101.9,+.522,-0.2,+5.0,-3.1,+6.8,+.259,-0.4,+3.0,-1.8,+2.3
Tommie Wood,NBA,57,175.3,56.2,45.4,213.2,+0.6,+2.8,+0.9,+2.6,.649,88.8,28.1,22.4,108.7,.351,86.5,28.1,23.0,104.5,+.298,+2.3,+0.1,-0.5,+4.1,+.035,+2.1,-1.9,+0.8,-0.4
Mark Wunderlich,NBA,56,174.4,50.8,42.6,206.7,-0.3,-2.6,-1.9,-3.9,.696,86.0,27.3,20.3,106.3,.304,88.4,23.6,22.3,100.5,+.393,-2.4,+3.7,-1.9,+5.8,+.130,-2.6,+1.7,-0.6,+1.3
